"custom_step","devoted-fog-184 - _step","devoted-fog-184 - _step__MIN","devoted-fog-184 - _step__MAX","devoted-fog-184 - train_metrics/Neutrality","devoted-fog-184 - train_metrics/Neutrality__MIN","devoted-fog-184 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.5156824690016449","0.5156824690016449","0.5156824690016449"
"2000000","1","1","1","0.5342798716996425","0.5342798716996425","0.5342798716996425"
"3000000","2","2","2","0.5186331460486531","0.5186331460486531","0.5186331460486531"
"4000000","3","3","3","0.5323736133725154","0.5323736133725154","0.5323736133725154"
"5000000","4","4","4","0.5892540673557279","0.5892540673557279","0.5892540673557279"
"6000000","5","5","5","0.5436541971070407","0.5436541971070407","0.5436541971070407"
"7000000","6","6","6","0.5788723009460092","0.5788723009460092","0.5788723009460092"
"8000000","7","7","7","0.6090486678385608","0.6090486678385608","0.6090486678385608"
"9000000","8","8","8","0.6322786688594383","0.6322786688594383","0.6322786688594383"
"10000000","9","9","9","0.6485753789210514","0.6485753789210514","0.6485753789210514"
"11000000","10","10","10","0.6462790936764905","0.6462790936764905","0.6462790936764905"
"12000000","11","11","11","0.6497269350760811","0.6497269350760811","0.6497269350760811"
"13000000","12","12","12","0.6683461696069156","0.6683461696069156","0.6683461696069156"
"14000000","13","13","13","0.6510427283448768","0.6510427283448768","0.6510427283448768"
"15000000","14","14","14","0.6940844537316627","0.6940844537316627","0.6940844537316627"
"16000000","15","15","15","0.703130368702566","0.703130368702566","0.703130368702566"
"17000000","16","16","16","0.6670817743753793","0.6670817743753793","0.6670817743753793"
"18000000","17","17","17","0.6814085652144641","0.6814085652144641","0.6814085652144641"
"19000000","18","18","18","0.6899931886507036","0.6899931886507036","0.6899931886507036"
"20000000","19","19","19","0.7083681514865668","0.7083681514865668","0.7083681514865668"
"21000000","20","20","20","0.7128838135676953","0.7128838135676953","0.7128838135676953"
"22000000","21","21","21","0.7091604926411463","0.7091604926411463","0.7091604926411463"
"23000000","22","22","22","0.727385983496074","0.727385983496074","0.727385983496074"
"24000000","23","23","23","0.7070590412004925","0.7070590412004925","0.7070590412004925"
"25000000","24","24","24","0.7311797597400409","0.7311797597400409","0.7311797597400409"
"26000000","25","25","25","0.7391666307074461","0.7391666307074461","0.7391666307074461"
"27000000","26","26","26","0.7275493610015905","0.7275493610015905","0.7275493610015905"
"28000000","27","27","27","0.7376299323190905","0.7376299323190905","0.7376299323190905"
"29000000","28","28","28","0.7257197534868306","0.7257197534868306","0.7257197534868306"
"30000000","29","29","29","0.7022857079718471","0.7022857079718471","0.7022857079718471"
"31000000","30","30","30","0.7132094445195467","0.7132094445195467","0.7132094445195467"
"32000000","31","31","31","0.7662719558598736","0.7662719558598736","0.7662719558598736"
"33000000","32","32","32","0.7531173770108067","0.7531173770108067","0.7531173770108067"
"34000000","33","33","33","0.7574494414234189","0.7574494414234189","0.7574494414234189"
"35000000","34","34","34","0.750256009637032","0.750256009637032","0.750256009637032"
"36000000","35","35","35","0.7607758448999815","0.7607758448999815","0.7607758448999815"
"37000000","36","36","36","0.7775118299125194","0.7775118299125194","0.7775118299125194"
"38000000","37","37","37","0.7972929256412585","0.7972929256412585","0.7972929256412585"
"39000000","38","38","38","0.7796917408352898","0.7796917408352898","0.7796917408352898"
"40000000","39","39","39","0.7777966304926722","0.7777966304926722","0.7777966304926722"
"41000000","40","40","40","0.7774727937074764","0.7774727937074764","0.7774727937074764"
"42000000","41","41","41","0.7803818229017707","0.7803818229017707","0.7803818229017707"
"43000000","42","42","42","0.7690027798872435","0.7690027798872435","0.7690027798872435"
"44000000","43","43","43","0.7692678104700541","0.7692678104700541","0.7692678104700541"
"45000000","44","44","44","0.8053212525309701","0.8053212525309701","0.8053212525309701"
"46000000","45","45","45","0.7807806515522159","0.7807806515522159","0.7807806515522159"
"47000000","46","46","46","0.7846784063753552","0.7846784063753552","0.7846784063753552"
"48000000","47","47","47","0.801934993894896","0.801934993894896","0.801934993894896"
"49000000","48","48","48","0.7788651246372157","0.7788651246372157","0.7788651246372157"
"50000000","49","49","49","0.7963021524653912","0.7963021524653912","0.7963021524653912"
"51000000","50","50","50","0.8058263482036474","0.8058263482036474","0.8058263482036474"
"52000000","51","51","51","0.8154578553544887","0.8154578553544887","0.8154578553544887"
"53000000","52","52","52","0.8063904475049175","0.8063904475049175","0.8063904475049175"
"54000000","53","53","53","0.8144880151926098","0.8144880151926098","0.8144880151926098"
"55000000","54","54","54","0.7537423250318105","0.7537423250318105","0.7537423250318105"
"56000000","55","55","55","0.8216188628785175","0.8216188628785175","0.8216188628785175"
"57000000","56","56","56","0.8008591652650672","0.8008591652650672","0.8008591652650672"
"58000000","57","57","57","0.8076020246113622","0.8076020246113622","0.8076020246113622"
"59000000","58","58","58","0.8267919028692737","0.8267919028692737","0.8267919028692737"
"60000000","59","59","59","0.8114153788826614","0.8114153788826614","0.8114153788826614"
"61000000","60","60","60","0.8258365438411298","0.8258365438411298","0.8258365438411298"
"62000000","61","61","61","0.800092149601475","0.800092149601475","0.800092149601475"
"63000000","62","62","62","0.8050855940681264","0.8050855940681264","0.8050855940681264"
"64000000","63","63","63","0.8206477986935274","0.8206477986935274","0.8206477986935274"
"65000000","64","64","64","0.8259551847328711","0.8259551847328711","0.8259551847328711"
"66000000","65","65","65","0.8084065763234759","0.8084065763234759","0.8084065763234759"
"67000000","66","66","66","0.7969846601133698","0.7969846601133698","0.7969846601133698"
"68000000","67","67","67","0.810583933245788","0.810583933245788","0.810583933245788"
"69000000","68","68","68","0.8203852984490527","0.8203852984490527","0.8203852984490527"
"70000000","69","69","69","0.8315752553255291","0.8315752553255291","0.8315752553255291"
"71000000","70","70","70","0.8063951369024485","0.8063951369024485","0.8063951369024485"
"72000000","71","71","71","0.8265748756054534","0.8265748756054534","0.8265748756054534"
"73000000","72","72","72","0.8273810886253468","0.8273810886253468","0.8273810886253468"
"74000000","73","73","73","0.8165690872169172","0.8165690872169172","0.8165690872169172"
"75000000","74","74","74","0.8066186287842161","0.8066186287842161","0.8066186287842161"
"76000000","75","75","75","0.8303748663174008","0.8303748663174008","0.8303748663174008"
"77000000","76","76","76","0.8392088554345345","0.8392088554345345","0.8392088554345345"
"78000000","77","77","77","0.8397083426301826","0.8397083426301826","0.8397083426301826"
"79000000","78","78","78","0.833048700608495","0.833048700608495","0.833048700608495"
"80000000","79","79","79","0.8241064164885591","0.8241064164885591","0.8241064164885591"
"81000000","80","80","80","0.8274524462247298","0.8274524462247298","0.8274524462247298"
"82000000","81","81","81","0.8237796461803262","0.8237796461803262","0.8237796461803262"
"83000000","82","82","82","0.822860752718688","0.822860752718688","0.822860752718688"
"84000000","83","83","83","0.7938822437632629","0.7938822437632629","0.7938822437632629"
"85000000","84","84","84","0.8311145551696855","0.8311145551696855","0.8311145551696855"
"86000000","85","85","85","0.8272956489727374","0.8272956489727374","0.8272956489727374"
"87000000","86","86","86","0.8321829100326792","0.8321829100326792","0.8321829100326792"
"88000000","87","87","87","0.8267565974444977","0.8267565974444977","0.8267565974444977"
"89000000","88","88","88","0.8361931759212968","0.8361931759212968","0.8361931759212968"
"90000000","89","89","89","0.8464876191169597","0.8464876191169597","0.8464876191169597"
"91000000","90","90","90","0.8375100673810959","0.8375100673810959","0.8375100673810959"
"92000000","91","91","91","0.8475727141036745","0.8475727141036745","0.8475727141036745"
"93000000","92","92","92","0.8140591977006327","0.8140591977006327","0.8140591977006327"
"94000000","93","93","93","0.856022450150176","0.856022450150176","0.856022450150176"
"95000000","94","94","94","0.8514366610134685","0.8514366610134685","0.8514366610134685"
"96000000","95","95","95","0.8443572034382502","0.8443572034382502","0.8443572034382502"
"97000000","96","96","96","0.8357446430571914","0.8357446430571914","0.8357446430571914"
"98000000","97","97","97","0.8457058948819304","0.8457058948819304","0.8457058948819304"
"99000000","98","98","98","0.8450445958345187","0.8450445958345187","0.8450445958345187"
"100000000","99","99","99","0.8509701366799592","0.8509701366799592","0.8509701366799592"