"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Neutrality","lively-sky-199 - train_metrics/Neutrality__MIN","lively-sky-199 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.518269814566194","0.518269814566194","0.518269814566194"
"2000000","1","1","1","0.5165418911348957","0.5165418911348957","0.5165418911348957"
"3000000","2","2","2","0.5781395649197087","0.5781395649197087","0.5781395649197087"
"4000000","3","3","3","0.6378962076157916","0.6378962076157916","0.6378962076157916"
"5000000","4","4","4","0.6158719653203241","0.6158719653203241","0.6158719653203241"
"6000000","5","5","5","0.5995867167851804","0.5995867167851804","0.5995867167851804"
"7000000","6","6","6","0.621467491219341","0.621467491219341","0.621467491219341"
"8000000","7","7","7","0.6606847387290363","0.6606847387290363","0.6606847387290363"
"9000000","8","8","8","0.6448950346419388","0.6448950346419388","0.6448950346419388"
"10000000","9","9","9","0.6427825263639966","0.6427825263639966","0.6427825263639966"
"11000000","10","10","10","0.6626977813348033","0.6626977813348033","0.6626977813348033"
"12000000","11","11","11","0.691008863136337","0.691008863136337","0.691008863136337"
"13000000","12","12","12","0.6760023321749271","0.6760023321749271","0.6760023321749271"
"14000000","13","13","13","0.6757742994946628","0.6757742994946628","0.6757742994946628"
"15000000","14","14","14","0.6741976047100291","0.6741976047100291","0.6741976047100291"
"16000000","15","15","15","0.6900947823111145","0.6900947823111145","0.6900947823111145"
"17000000","16","16","16","0.6955809936197219","0.6955809936197219","0.6955809936197219"
"18000000","17","17","17","0.6979026955711484","0.6979026955711484","0.6979026955711484"
"19000000","18","18","18","0.7051684689487436","0.7051684689487436","0.7051684689487436"
"20000000","19","19","19","0.708019713481559","0.708019713481559","0.708019713481559"
"21000000","20","20","20","0.7120920258645963","0.7120920258645963","0.7120920258645963"
"22000000","21","21","21","0.6832057135156212","0.6832057135156212","0.6832057135156212"
"23000000","22","22","22","0.6689095903032704","0.6689095903032704","0.6689095903032704"
"24000000","23","23","23","0.6833807410427781","0.6833807410427781","0.6833807410427781"
"25000000","24","24","24","0.7032726338716281","0.7032726338716281","0.7032726338716281"
"26000000","25","25","25","0.7457725479223004","0.7457725479223004","0.7457725479223004"
"27000000","26","26","26","0.7072811492411086","0.7072811492411086","0.7072811492411086"
"28000000","27","27","27","0.7549585693406319","0.7549585693406319","0.7549585693406319"
"29000000","28","28","28","0.7280146683857891","0.7280146683857891","0.7280146683857891"
"30000000","29","29","29","0.752011540911537","0.752011540911537","0.752011540911537"
"31000000","30","30","30","0.7504262035060079","0.7504262035060079","0.7504262035060079"
"32000000","31","31","31","0.7504824127499194","0.7504824127499194","0.7504824127499194"
"33000000","32","32","32","0.7663762915816374","0.7663762915816374","0.7663762915816374"
"34000000","33","33","33","0.7762199631830429","0.7762199631830429","0.7762199631830429"
"35000000","34","34","34","0.7680862211840017","0.7680862211840017","0.7680862211840017"
"36000000","35","35","35","0.7447775611446887","0.7447775611446887","0.7447775611446887"
"37000000","36","36","36","0.7787323758527349","0.7787323758527349","0.7787323758527349"
"38000000","37","37","37","0.7656233984189642","0.7656233984189642","0.7656233984189642"
"39000000","38","38","38","0.7871442566850465","0.7871442566850465","0.7871442566850465"
"40000000","39","39","39","0.7276290197684121","0.7276290197684121","0.7276290197684121"
"41000000","40","40","40","0.7486214734579213","0.7486214734579213","0.7486214734579213"
"42000000","41","41","41","0.7720192083652867","0.7720192083652867","0.7720192083652867"
"43000000","42","42","42","0.7898221702582146","0.7898221702582146","0.7898221702582146"
"44000000","43","43","43","0.7767583840539903","0.7767583840539903","0.7767583840539903"
"45000000","44","44","44","0.770595518556869","0.770595518556869","0.770595518556869"
"46000000","45","45","45","0.7954503701288318","0.7954503701288318","0.7954503701288318"
"47000000","46","46","46","0.7935097200908017","0.7935097200908017","0.7935097200908017"
"48000000","47","47","47","0.7849100416945385","0.7849100416945385","0.7849100416945385"
"49000000","48","48","48","0.7789021006468432","0.7789021006468432","0.7789021006468432"
"50000000","49","49","49","0.8059732246804723","0.8059732246804723","0.8059732246804723"
"51000000","50","50","50","0.8018984280357393","0.8018984280357393","0.8018984280357393"
"52000000","51","51","51","0.7907362423739496","0.7907362423739496","0.7907362423739496"
"53000000","52","52","52","0.8126450374809562","0.8126450374809562","0.8126450374809562"
"54000000","53","53","53","0.8157552319900475","0.8157552319900475","0.8157552319900475"
"55000000","54","54","54","0.7977096448677096","0.7977096448677096","0.7977096448677096"
"56000000","55","55","55","0.8185235659255353","0.8185235659255353","0.8185235659255353"
"57000000","56","56","56","0.802901959406498","0.802901959406498","0.802901959406498"
"58000000","57","57","57","0.7954643475034123","0.7954643475034123","0.7954643475034123"
"59000000","58","58","58","0.7944171942533496","0.7944171942533496","0.7944171942533496"
"60000000","59","59","59","0.7617368672819961","0.7617368672819961","0.7617368672819961"
"61000000","60","60","60","0.7835586386100957","0.7835586386100957","0.7835586386100957"
"62000000","61","61","61","0.7941892545881061","0.7941892545881061","0.7941892545881061"
"63000000","62","62","62","0.7954163219626562","0.7954163219626562","0.7954163219626562"
"64000000","63","63","63","0.7896779991296363","0.7896779991296363","0.7896779991296363"
"65000000","64","64","64","0.8225314676949896","0.8225314676949896","0.8225314676949896"
"66000000","65","65","65","0.7932563824497175","0.7932563824497175","0.7932563824497175"
"67000000","66","66","66","0.7852008417383822","0.7852008417383822","0.7852008417383822"
"68000000","67","67","67","0.8033273990194304","0.8033273990194304","0.8033273990194304"
"69000000","68","68","68","0.8197862232214724","0.8197862232214724","0.8197862232214724"
"70000000","69","69","69","0.8379223789188829","0.8379223789188829","0.8379223789188829"
"71000000","70","70","70","0.8214076160462607","0.8214076160462607","0.8214076160462607"
"72000000","71","71","71","0.8016984642745018","0.8016984642745018","0.8016984642745018"
"73000000","72","72","72","0.8084932018206672","0.8084932018206672","0.8084932018206672"
"74000000","73","73","73","0.815563493697941","0.815563493697941","0.815563493697941"
"75000000","74","74","74","0.826838338052462","0.826838338052462","0.826838338052462"
"76000000","75","75","75","0.8205453586936287","0.8205453586936287","0.8205453586936287"
"77000000","76","76","76","0.825811585996573","0.825811585996573","0.825811585996573"
"78000000","77","77","77","0.8103861673549795","0.8103861673549795","0.8103861673549795"
"79000000","78","78","78","0.8383061174359522","0.8383061174359522","0.8383061174359522"
"80000000","79","79","79","0.8179122648477772","0.8179122648477772","0.8179122648477772"
"81000000","80","80","80","0.8207077395351983","0.8207077395351983","0.8207077395351983"
"82000000","81","81","81","0.8191297577168015","0.8191297577168015","0.8191297577168015"
"83000000","82","82","82","0.8390308967509639","0.8390308967509639","0.8390308967509639"
"84000000","83","83","83","0.8305170745715835","0.8305170745715835","0.8305170745715835"
"85000000","84","84","84","0.8298715011824569","0.8298715011824569","0.8298715011824569"
"86000000","85","85","85","0.8367680770943217","0.8367680770943217","0.8367680770943217"
"87000000","86","86","86","0.8303028860916114","0.8303028860916114","0.8303028860916114"
"88000000","87","87","87","0.8066198466840151","0.8066198466840151","0.8066198466840151"
"89000000","88","88","88","0.8328868840783918","0.8328868840783918","0.8328868840783918"
"90000000","89","89","89","0.8235691835117276","0.8235691835117276","0.8235691835117276"
"91000000","90","90","90","0.8329425170556126","0.8329425170556126","0.8329425170556126"
"92000000","91","91","91","0.8363656434093163","0.8363656434093163","0.8363656434093163"
"93000000","92","92","92","0.8379601062712708","0.8379601062712708","0.8379601062712708"
"94000000","93","93","93","0.8226712414650663","0.8226712414650663","0.8226712414650663"
"95000000","94","94","94","0.8431718329040931","0.8431718329040931","0.8431718329040931"
"96000000","95","95","95","0.8269153690503803","0.8269153690503803","0.8269153690503803"
"97000000","96","96","96","0.8594989580257274","0.8594989580257274","0.8594989580257274"
"98000000","97","97","97","0.8329426276453834","0.8329426276453834","0.8329426276453834"
"99000000","98","98","98","0.8278048929149696","0.8278048929149696","0.8278048929149696"
"100000000","99","99","99","0.8367467701060967","0.8367467701060967","0.8367467701060967"