"custom_step","likely-oath-197 - _step","likely-oath-197 - _step__MIN","likely-oath-197 - _step__MAX","likely-oath-197 - train_metrics/Usefulness","likely-oath-197 - train_metrics/Usefulness__MIN","likely-oath-197 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.41504272864277647","0.41504272864277647","0.41504272864277647"
"2000000","1","1","1","0.47300116057294506","0.47300116057294506","0.47300116057294506"
"3000000","2","2","2","0.5423774102342618","0.5423774102342618","0.5423774102342618"
"4000000","3","3","3","0.5710922590401605","0.5710922590401605","0.5710922590401605"
"5000000","4","4","4","0.5789025160709463","0.5789025160709463","0.5789025160709463"
"6000000","5","5","5","0.6031386793549278","0.6031386793549278","0.6031386793549278"
"7000000","6","6","6","0.6497877797839771","0.6497877797839771","0.6497877797839771"
"8000000","7","7","7","0.6800814958319206","0.6800814958319206","0.6800814958319206"
"9000000","8","8","8","0.6863647821568742","0.6863647821568742","0.6863647821568742"
"10000000","9","9","9","0.68723740489266","0.68723740489266","0.68723740489266"
"11000000","10","10","10","0.7097645459354855","0.7097645459354855","0.7097645459354855"
"12000000","11","11","11","0.7197791254313934","0.7197791254313934","0.7197791254313934"
"13000000","12","12","12","0.7307219821358337","0.7307219821358337","0.7307219821358337"
"14000000","13","13","13","0.7663910149400365","0.7663910149400365","0.7663910149400365"
"15000000","14","14","14","0.7600502097443946","0.7600502097443946","0.7600502097443946"
"16000000","15","15","15","0.7698148920940957","0.7698148920940957","0.7698148920940957"
"17000000","16","16","16","0.7579006080649983","0.7579006080649983","0.7579006080649983"
"18000000","17","17","17","0.7972401296653672","0.7972401296653672","0.7972401296653672"
"19000000","18","18","18","0.8032519941995275","0.8032519941995275","0.8032519941995275"
"20000000","19","19","19","0.7995508088324033","0.7995508088324033","0.7995508088324033"
"21000000","20","20","20","0.8093255674081175","0.8093255674081175","0.8093255674081175"
"22000000","21","21","21","0.8245575895993669","0.8245575895993669","0.8245575895993669"
"23000000","22","22","22","0.8258500176780265","0.8258500176780265","0.8258500176780265"
"24000000","23","23","23","0.8456127230346566","0.8456127230346566","0.8456127230346566"
"25000000","24","24","24","0.8278102805796903","0.8278102805796903","0.8278102805796903"
"26000000","25","25","25","0.848727742943745","0.848727742943745","0.848727742943745"
"27000000","26","26","26","0.8431153802567316","0.8431153802567316","0.8431153802567316"
"28000000","27","27","27","0.8364215647758247","0.8364215647758247","0.8364215647758247"
"29000000","28","28","28","0.847175370524192","0.847175370524192","0.847175370524192"
"30000000","29","29","29","0.8461287635573518","0.8461287635573518","0.8461287635573518"
"31000000","30","30","30","0.8559854485914747","0.8559854485914747","0.8559854485914747"
"32000000","31","31","31","0.8531842537165475","0.8531842537165475","0.8531842537165475"
"33000000","32","32","32","0.8623806748883656","0.8623806748883656","0.8623806748883656"
"34000000","33","33","33","0.8730938479592684","0.8730938479592684","0.8730938479592684"
"35000000","34","34","34","0.8696837557944377","0.8696837557944377","0.8696837557944377"
"36000000","35","35","35","0.8617091208383282","0.8617091208383282","0.8617091208383282"
"37000000","36","36","36","0.8748696630800428","0.8748696630800428","0.8748696630800428"
"38000000","37","37","37","0.8741155674305107","0.8741155674305107","0.8741155674305107"
"39000000","38","38","38","0.8749544580707123","0.8749544580707123","0.8749544580707123"
"40000000","39","39","39","0.8769936310464798","0.8769936310464798","0.8769936310464798"
"41000000","40","40","40","0.8809362146901132","0.8809362146901132","0.8809362146901132"
"42000000","41","41","41","0.882418670244196","0.882418670244196","0.882418670244196"
"43000000","42","42","42","0.8728658640891997","0.8728658640891997","0.8728658640891997"
"44000000","43","43","43","0.8701414164349309","0.8701414164349309","0.8701414164349309"
"45000000","44","44","44","0.8768677182747538","0.8768677182747538","0.8768677182747538"
"46000000","45","45","45","0.8745149082841636","0.8745149082841636","0.8745149082841636"
"47000000","46","46","46","0.883634362193192","0.883634362193192","0.883634362193192"
"48000000","47","47","47","0.8781467143907266","0.8781467143907266","0.8781467143907266"
"49000000","48","48","48","0.8881914039672312","0.8881914039672312","0.8881914039672312"
"50000000","49","49","49","0.891280539648314","0.891280539648314","0.891280539648314"
"51000000","50","50","50","0.8891577456713222","0.8891577456713222","0.8891577456713222"
"52000000","51","51","51","0.8879974483340238","0.8879974483340238","0.8879974483340238"
"53000000","52","52","52","0.8918437732382637","0.8918437732382637","0.8918437732382637"
"54000000","53","53","53","0.8979574919228647","0.8979574919228647","0.8979574919228647"
"55000000","54","54","54","0.8938699165100754","0.8938699165100754","0.8938699165100754"
"56000000","55","55","55","0.8962036494995838","0.8962036494995838","0.8962036494995838"
"57000000","56","56","56","0.8892239221566286","0.8892239221566286","0.8892239221566286"
"58000000","57","57","57","0.8873801128116011","0.8873801128116011","0.8873801128116011"
"59000000","58","58","58","0.9030598921875419","0.9030598921875419","0.9030598921875419"
"60000000","59","59","59","0.8962469833266047","0.8962469833266047","0.8962469833266047"
"61000000","60","60","60","0.9027953663339446","0.9027953663339446","0.9027953663339446"
"62000000","61","61","61","0.8804471128054641","0.8804471128054641","0.8804471128054641"
"63000000","62","62","62","0.891675506748935","0.891675506748935","0.891675506748935"
"64000000","63","63","63","0.8995208882967023","0.8995208882967023","0.8995208882967023"
"65000000","64","64","64","0.8964720442014482","0.8964720442014482","0.8964720442014482"
"66000000","65","65","65","0.9047428443985386","0.9047428443985386","0.9047428443985386"
"67000000","66","66","66","0.9068812965573256","0.9068812965573256","0.9068812965573256"
"68000000","67","67","67","0.9064128572007263","0.9064128572007263","0.9064128572007263"
"69000000","68","68","68","0.9154343999253899","0.9154343999253899","0.9154343999253899"
"70000000","69","69","69","0.9132741352171653","0.9132741352171653","0.9132741352171653"
"71000000","70","70","70","0.8939105035322636","0.8939105035322636","0.8939105035322636"
"72000000","71","71","71","0.9131681703476082","0.9131681703476082","0.9131681703476082"
"73000000","72","72","72","0.9046739791346334","0.9046739791346334","0.9046739791346334"
"74000000","73","73","73","0.9066247785676851","0.9066247785676851","0.9066247785676851"
"75000000","74","74","74","0.9104678478783487","0.9104678478783487","0.9104678478783487"
"76000000","75","75","75","0.9168070529009571","0.9168070529009571","0.9168070529009571"
"77000000","76","76","76","0.9138301851082649","0.9138301851082649","0.9138301851082649"
"78000000","77","77","77","0.9161044144730676","0.9161044144730676","0.9161044144730676"
"79000000","78","78","78","0.9104309505965854","0.9104309505965854","0.9104309505965854"
"80000000","79","79","79","0.9124706130627327","0.9124706130627327","0.9124706130627327"
"81000000","80","80","80","0.9126844907748939","0.9126844907748939","0.9126844907748939"
"82000000","81","81","81","0.9175733135311146","0.9175733135311146","0.9175733135311146"
"83000000","82","82","82","0.9155915971479598","0.9155915971479598","0.9155915971479598"
"84000000","83","83","83","0.905992756429515","0.905992756429515","0.905992756429515"
"85000000","84","84","84","0.9129265443033083","0.9129265443033083","0.9129265443033083"
"86000000","85","85","85","0.916154492380631","0.916154492380631","0.916154492380631"
"87000000","86","86","86","0.9109484140554646","0.9109484140554646","0.9109484140554646"
"88000000","87","87","87","0.9186268999513629","0.9186268999513629","0.9186268999513629"
"89000000","88","88","88","0.9169101904279391","0.9169101904279391","0.9169101904279391"
"90000000","89","89","89","0.9187730384073137","0.9187730384073137","0.9187730384073137"
"91000000","90","90","90","0.9160145703227018","0.9160145703227018","0.9160145703227018"
"92000000","91","91","91","0.9190957046026478","0.9190957046026478","0.9190957046026478"
"93000000","92","92","92","0.9111868882968869","0.9111868882968869","0.9111868882968869"
"94000000","93","93","93","0.9174817813093579","0.9174817813093579","0.9174817813093579"
"95000000","94","94","94","0.9221468665977622","0.9221468665977622","0.9221468665977622"
"96000000","95","95","95","0.9162560782918823","0.9162560782918823","0.9162560782918823"
"97000000","96","96","96","0.9140858330178204","0.9140858330178204","0.9140858330178204"
"98000000","97","97","97","0.9116316891102391","0.9116316891102391","0.9116316891102391"
"99000000","98","98","98","0.9237647661578092","0.9237647661578092","0.9237647661578092"
"100000000","99","99","99","0.918826204243066","0.918826204243066","0.918826204243066"