"custom_step","splendid-dragon-200 - _step","splendid-dragon-200 - _step__MIN","splendid-dragon-200 - _step__MAX","splendid-dragon-200 - train_metrics/Usefulness","splendid-dragon-200 - train_metrics/Usefulness__MIN","splendid-dragon-200 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.4552753362312856","0.4552753362312856","0.4552753362312856"
"2000000","1","1","1","0.49595486444465","0.49595486444465","0.49595486444465"
"3000000","2","2","2","0.508253433272697","0.508253433272697","0.508253433272697"
"4000000","3","3","3","0.5799443578772023","0.5799443578772023","0.5799443578772023"
"5000000","4","4","4","0.619896084388379","0.619896084388379","0.619896084388379"
"6000000","5","5","5","0.6455444039267421","0.6455444039267421","0.6455444039267421"
"7000000","6","6","6","0.6720204687987595","0.6720204687987595","0.6720204687987595"
"8000000","7","7","7","0.7026430197187892","0.7026430197187892","0.7026430197187892"
"9000000","8","8","8","0.7044811039570212","0.7044811039570212","0.7044811039570212"
"10000000","9","9","9","0.6891946959169467","0.6891946959169467","0.6891946959169467"
"11000000","10","10","10","0.7252371096741643","0.7252371096741643","0.7252371096741643"
"12000000","11","11","11","0.7142816449550222","0.7142816449550222","0.7142816449550222"
"13000000","12","12","12","0.7306239047366869","0.7306239047366869","0.7306239047366869"
"14000000","13","13","13","0.7416094790425256","0.7416094790425256","0.7416094790425256"
"15000000","14","14","14","0.7408211324656976","0.7408211324656976","0.7408211324656976"
"16000000","15","15","15","0.7504164540477477","0.7504164540477477","0.7504164540477477"
"17000000","16","16","16","0.7781720781782789","0.7781720781782789","0.7781720781782789"
"18000000","17","17","17","0.7935366609178199","0.7935366609178199","0.7935366609178199"
"19000000","18","18","18","0.7987582817539367","0.7987582817539367","0.7987582817539367"
"20000000","19","19","19","0.7846776709811906","0.7846776709811906","0.7846776709811906"
"21000000","20","20","20","0.81926489533359","0.81926489533359","0.81926489533359"
"22000000","21","21","21","0.8327790050424545","0.8327790050424545","0.8327790050424545"
"23000000","22","22","22","0.8315887604549084","0.8315887604549084","0.8315887604549084"
"24000000","23","23","23","0.8267296852312487","0.8267296852312487","0.8267296852312487"
"25000000","24","24","24","0.8436464148527589","0.8436464148527589","0.8436464148527589"
"26000000","25","25","25","0.8520944181764235","0.8520944181764235","0.8520944181764235"
"27000000","26","26","26","0.8376577433108047","0.8376577433108047","0.8376577433108047"
"28000000","27","27","27","0.8470811494898698","0.8470811494898698","0.8470811494898698"
"29000000","28","28","28","0.847830714498103","0.847830714498103","0.847830714498103"
"30000000","29","29","29","0.8613695447203381","0.8613695447203381","0.8613695447203381"
"31000000","30","30","30","0.8711641835659685","0.8711641835659685","0.8711641835659685"
"32000000","31","31","31","0.8760639197616275","0.8760639197616275","0.8760639197616275"
"33000000","32","32","32","0.8336129713150945","0.8336129713150945","0.8336129713150945"
"34000000","33","33","33","0.8696636527846944","0.8696636527846944","0.8696636527846944"
"35000000","34","34","34","0.8534292333940176","0.8534292333940176","0.8534292333940176"
"36000000","35","35","35","0.8741790904073005","0.8741790904073005","0.8741790904073005"
"37000000","36","36","36","0.8760179232417605","0.8760179232417605","0.8760179232417605"
"38000000","37","37","37","0.8844857436710614","0.8844857436710614","0.8844857436710614"
"39000000","38","38","38","0.8841260074138373","0.8841260074138373","0.8841260074138373"
"40000000","39","39","39","0.8746532675651607","0.8746532675651607","0.8746532675651607"
"41000000","40","40","40","0.8909667514417765","0.8909667514417765","0.8909667514417765"
"42000000","41","41","41","0.871467345646024","0.871467345646024","0.871467345646024"
"43000000","42","42","42","0.8802121920360262","0.8802121920360262","0.8802121920360262"
"44000000","43","43","43","0.8810951053902802","0.8810951053902802","0.8810951053902802"
"45000000","44","44","44","0.8891227378141883","0.8891227378141883","0.8891227378141883"
"46000000","45","45","45","0.8877399565357299","0.8877399565357299","0.8877399565357299"
"47000000","46","46","46","0.889614889010517","0.889614889010517","0.889614889010517"
"48000000","47","47","47","0.8870379877722754","0.8870379877722754","0.8870379877722754"
"49000000","48","48","48","0.8929715959977949","0.8929715959977949","0.8929715959977949"
"50000000","49","49","49","0.8838378960665116","0.8838378960665116","0.8838378960665116"
"51000000","50","50","50","0.8829789027220986","0.8829789027220986","0.8829789027220986"
"52000000","51","51","51","0.894159341885342","0.894159341885342","0.894159341885342"
"53000000","52","52","52","0.8902420767088174","0.8902420767088174","0.8902420767088174"
"54000000","53","53","53","0.9019056731953925","0.9019056731953925","0.9019056731953925"
"55000000","54","54","54","0.89370782039766","0.89370782039766","0.89370782039766"
"56000000","55","55","55","0.8972134552152684","0.8972134552152684","0.8972134552152684"
"57000000","56","56","56","0.906222020004257","0.906222020004257","0.906222020004257"
"58000000","57","57","57","0.9023006395087867","0.9023006395087867","0.9023006395087867"
"59000000","58","58","58","0.9076518296985809","0.9076518296985809","0.9076518296985809"
"60000000","59","59","59","0.888900471606009","0.888900471606009","0.888900471606009"
"61000000","60","60","60","0.9079357535970051","0.9079357535970051","0.9079357535970051"
"62000000","61","61","61","0.9078739892970772","0.9078739892970772","0.9078739892970772"
"63000000","62","62","62","0.9119049943711603","0.9119049943711603","0.9119049943711603"
"64000000","63","63","63","0.903979689759779","0.903979689759779","0.903979689759779"
"65000000","64","64","64","0.9048726829465384","0.9048726829465384","0.9048726829465384"
"66000000","65","65","65","0.9098424411061018","0.9098424411061018","0.9098424411061018"
"67000000","66","66","66","0.9058030292083593","0.9058030292083593","0.9058030292083593"
"68000000","67","67","67","0.900303006902537","0.900303006902537","0.900303006902537"
"69000000","68","68","68","0.9068514130889748","0.9068514130889748","0.9068514130889748"
"70000000","69","69","69","0.9120613613179263","0.9120613613179263","0.9120613613179263"
"71000000","70","70","70","0.9125784906284642","0.9125784906284642","0.9125784906284642"
"72000000","71","71","71","0.9042001886776749","0.9042001886776749","0.9042001886776749"
"73000000","72","72","72","0.9157542633320381","0.9157542633320381","0.9157542633320381"
"74000000","73","73","73","0.9054921344157467","0.9054921344157467","0.9054921344157467"
"75000000","74","74","74","0.9131826093773042","0.9131826093773042","0.9131826093773042"
"76000000","75","75","75","0.9103811896448049","0.9103811896448049","0.9103811896448049"
"77000000","76","76","76","0.9110856229357825","0.9110856229357825","0.9110856229357825"
"78000000","77","77","77","0.9091618688452199","0.9091618688452199","0.9091618688452199"
"79000000","78","78","78","0.9052555764479905","0.9052555764479905","0.9052555764479905"
"80000000","79","79","79","0.9129969287940977","0.9129969287940977","0.9129969287940977"
"81000000","80","80","80","0.9136928022358839","0.9136928022358839","0.9136928022358839"
"82000000","81","81","81","0.9140661330278522","0.9140661330278522","0.9140661330278522"
"83000000","82","82","82","0.9163790985569981","0.9163790985569981","0.9163790985569981"
"84000000","83","83","83","0.9143077257274108","0.9143077257274108","0.9143077257274108"
"85000000","84","84","84","0.9118948008584455","0.9118948008584455","0.9118948008584455"
"86000000","85","85","85","0.915263364713022","0.915263364713022","0.915263364713022"
"87000000","86","86","86","0.9129445607104184","0.9129445607104184","0.9129445607104184"
"88000000","87","87","87","0.917355467881118","0.917355467881118","0.917355467881118"
"89000000","88","88","88","0.9146814479480078","0.9146814479480078","0.9146814479480078"
"90000000","89","89","89","0.9193677553376847","0.9193677553376847","0.9193677553376847"
"91000000","90","90","90","0.9098375245983008","0.9098375245983008","0.9098375245983008"
"92000000","91","91","91","0.9179011689049902","0.9179011689049902","0.9179011689049902"
"93000000","92","92","92","0.9167002935041575","0.9167002935041575","0.9167002935041575"
"94000000","93","93","93","0.9181115394106424","0.9181115394106424","0.9181115394106424"
"95000000","94","94","94","0.9192101255139472","0.9192101255139472","0.9192101255139472"
"96000000","95","95","95","0.9180275899086731","0.9180275899086731","0.9180275899086731"
"97000000","96","96","96","0.9156385627550181","0.9156385627550181","0.9156385627550181"
"98000000","97","97","97","0.9216299161938842","0.9216299161938842","0.9216299161938842"
"99000000","98","98","98","0.9182960832223732","0.9182960832223732","0.9182960832223732"
"100000000","99","99","99","0.9207115320527057","0.9207115320527057","0.9207115320527057"