"custom_step","devoted-fog-184 - _step","devoted-fog-184 - _step__MIN","devoted-fog-184 - _step__MAX","devoted-fog-184 - train_metrics/Weighted_Average73","devoted-fog-184 - train_metrics/Weighted_Average73__MIN","devoted-fog-184 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.4553250363224852","0.4553250363224852","0.4553250363224852"
"2000000","1","1","1","0.5033209135052875","0.5033209135052875","0.5033209135052875"
"3000000","2","2","2","0.5241613428726235","0.5241613428726235","0.5241613428726235"
"4000000","3","3","3","0.5429851666098384","0.5429851666098384","0.5429851666098384"
"5000000","4","4","4","0.5850381761707432","0.5850381761707432","0.5850381761707432"
"6000000","5","5","5","0.5902643221518222","0.5902643221518222","0.5902643221518222"
"7000000","6","6","6","0.6279797321990872","0.6279797321990872","0.6279797321990872"
"8000000","7","7","7","0.6440065171420122","0.6440065171420122","0.6440065171420122"
"9000000","8","8","8","0.6626207055601788","0.6626207055601788","0.6626207055601788"
"10000000","9","9","9","0.6860347692406806","0.6860347692406806","0.6860347692406806"
"11000000","10","10","10","0.6848420505466327","0.6848420505466327","0.6848420505466327"
"12000000","11","11","11","0.6993146840068427","0.6993146840068427","0.6993146840068427"
"13000000","12","12","12","0.7145625973060484","0.7145625973060484","0.7145625973060484"
"14000000","13","13","13","0.7056714634186315","0.7056714634186315","0.7056714634186315"
"15000000","14","14","14","0.7556536221319893","0.7556536221319893","0.7556536221319893"
"16000000","15","15","15","0.744443539568929","0.744443539568929","0.744443539568929"
"17000000","16","16","16","0.7366086960298885","0.7366086960298885","0.7366086960298885"
"18000000","17","17","17","0.7470150291031762","0.7470150291031762","0.7470150291031762"
"19000000","18","18","18","0.7544739063782502","0.7544739063782502","0.7544739063782502"
"20000000","19","19","19","0.7773815162911896","0.7773815162911896","0.7773815162911896"
"21000000","20","20","20","0.7960855107628211","0.7960855107628211","0.7960855107628211"
"22000000","21","21","21","0.7914541875167971","0.7914541875167971","0.7914541875167971"
"23000000","22","22","22","0.8002787947750284","0.8002787947750284","0.8002787947750284"
"24000000","23","23","23","0.7974240380394079","0.7974240380394079","0.7974240380394079"
"25000000","24","24","24","0.8030709668932066","0.8030709668932066","0.8030709668932066"
"26000000","25","25","25","0.8120771026355901","0.8120771026355901","0.8120771026355901"
"27000000","26","26","26","0.8096136187029714","0.8096136187029714","0.8096136187029714"
"28000000","27","27","27","0.8230328843732253","0.8230328843732253","0.8230328843732253"
"29000000","28","28","28","0.8081472155289122","0.8081472155289122","0.8081472155289122"
"30000000","29","29","29","0.790538198895701","0.790538198895701","0.790538198895701"
"31000000","30","30","30","0.8052420547625827","0.8052420547625827","0.8052420547625827"
"32000000","31","31","31","0.831638241115263","0.831638241115263","0.831638241115263"
"33000000","32","32","32","0.825565538331708","0.825565538331708","0.825565538331708"
"34000000","33","33","33","0.8266223731632139","0.8266223731632139","0.8266223731632139"
"35000000","34","34","34","0.8289169693321519","0.8289169693321519","0.8289169693321519"
"36000000","35","35","35","0.835581307902501","0.835581307902501","0.835581307902501"
"37000000","36","36","36","0.8384293916228098","0.8384293916228098","0.8384293916228098"
"38000000","37","37","37","0.8468457340110696","0.8468457340110696","0.8468457340110696"
"39000000","38","38","38","0.8472111846163017","0.8472111846163017","0.8472111846163017"
"40000000","39","39","39","0.8404401773280863","0.8404401773280863","0.8404401773280863"
"41000000","40","40","40","0.8464681270790261","0.8464681270790261","0.8464681270790261"
"42000000","41","41","41","0.8499850990364777","0.8499850990364777","0.8499850990364777"
"43000000","42","42","42","0.8490336993190778","0.8490336993190778","0.8490336993190778"
"44000000","43","43","43","0.8508025150253877","0.8508025150253877","0.8508025150253877"
"45000000","44","44","44","0.8635201954253918","0.8635201954253918","0.8635201954253918"
"46000000","45","45","45","0.850305580037964","0.850305580037964","0.850305580037964"
"47000000","46","46","46","0.8527119297266563","0.8527119297266563","0.8527119297266563"
"48000000","47","47","47","0.8667975449772451","0.8667975449772451","0.8667975449772451"
"49000000","48","48","48","0.8529386559426226","0.8529386559426226","0.8529386559426226"
"50000000","49","49","49","0.8630444350542266","0.8630444350542266","0.8630444350542266"
"51000000","50","50","50","0.8709776490782716","0.8709776490782716","0.8709776490782716"
"52000000","51","51","51","0.8734297661020652","0.8734297661020652","0.8734297661020652"
"53000000","52","52","52","0.8677282009559816","0.8677282009559816","0.8677282009559816"
"54000000","53","53","53","0.8699216968061758","0.8699216968061758","0.8699216968061758"
"55000000","54","54","54","0.8441774404713621","0.8441774404713621","0.8441774404713621"
"56000000","55","55","55","0.8793590965632451","0.8793590965632451","0.8793590965632451"
"57000000","56","56","56","0.8723254567923051","0.8723254567923051","0.8723254567923051"
"58000000","57","57","57","0.8746529338119806","0.8746529338119806","0.8746529338119806"
"59000000","58","58","58","0.8834215027944257","0.8834215027944257","0.8834215027944257"
"60000000","59","59","59","0.8803107020524643","0.8803107020524643","0.8803107020524643"
"61000000","60","60","60","0.8794572884701962","0.8794572884701962","0.8794572884701962"
"62000000","61","61","61","0.8699786376923562","0.8699786376923562","0.8699786376923562"
"63000000","62","62","62","0.8693234235914901","0.8693234235914901","0.8693234235914901"
"64000000","63","63","63","0.8751536851341226","0.8751536851341226","0.8751536851341226"
"65000000","64","64","64","0.8816749268326753","0.8816749268326753","0.8816749268326753"
"66000000","65","65","65","0.870584351808513","0.870584351808513","0.870584351808513"
"67000000","66","66","66","0.8693619081560545","0.8693619081560545","0.8693619081560545"
"68000000","67","67","67","0.8735122136683608","0.8735122136683608","0.8735122136683608"
"69000000","68","68","68","0.8769681865542677","0.8769681865542677","0.8769681865542677"
"70000000","69","69","69","0.8867815600295792","0.8867815600295792","0.8867815600295792"
"71000000","70","70","70","0.8714211804643941","0.8714211804643941","0.8714211804643941"
"72000000","71","71","71","0.8843641583894226","0.8843641583894226","0.8843641583894226"
"73000000","72","72","72","0.8800253156835204","0.8800253156835204","0.8800253156835204"
"74000000","73","73","73","0.8688912271866382","0.8688912271866382","0.8688912271866382"
"75000000","74","74","74","0.8738525981755634","0.8738525981755634","0.8738525981755634"
"76000000","75","75","75","0.8869104434534305","0.8869104434534305","0.8869104434534305"
"77000000","76","76","76","0.8898755428612704","0.8898755428612704","0.8898755428612704"
"78000000","77","77","77","0.8924984866970173","0.8924984866970173","0.8924984866970173"
"79000000","78","78","78","0.8910826803259881","0.8910826803259881","0.8910826803259881"
"80000000","79","79","79","0.8835328950203782","0.8835328950203782","0.8835328950203782"
"81000000","80","80","80","0.882693706472064","0.882693706472064","0.882693706472064"
"82000000","81","81","81","0.8830911952287346","0.8830911952287346","0.8830911952287346"
"83000000","82","82","82","0.8826085818015456","0.8826085818015456","0.8826085818015456"
"84000000","83","83","83","0.8717056995840612","0.8717056995840612","0.8717056995840612"
"85000000","84","84","84","0.8905166418597019","0.8905166418597019","0.8905166418597019"
"86000000","85","85","85","0.8866024891989024","0.8866024891989024","0.8866024891989024"
"87000000","86","86","86","0.8869374125321705","0.8869374125321705","0.8869374125321705"
"88000000","87","87","87","0.8860329875298393","0.8860329875298393","0.8860329875298393"
"89000000","88","88","88","0.8881753984915501","0.8881753984915501","0.8881753984915501"
"90000000","89","89","89","0.8931837680585106","0.8931837680585106","0.8931837680585106"
"91000000","90","90","90","0.8899330704577693","0.8899330704577693","0.8899330704577693"
"92000000","91","91","91","0.8907663259138112","0.8907663259138112","0.8907663259138112"
"93000000","92","92","92","0.8783326182534648","0.8783326182534648","0.8783326182534648"
"94000000","93","93","93","0.8985617355259464","0.8985617355259464","0.8985617355259464"
"95000000","94","94","94","0.8958388260384045","0.8958388260384045","0.8958388260384045"
"96000000","95","95","95","0.8914377133181768","0.8914377133181768","0.8914377133181768"
"97000000","96","96","96","0.8937412087179055","0.8937412087179055","0.8937412087179055"
"98000000","97","97","97","0.8965114082235822","0.8965114082235822","0.8965114082235822"
"99000000","98","98","98","0.8890752008122127","0.8890752008122127","0.8890752008122127"
"100000000","99","99","99","0.8939752386798878","0.8939752386798878","0.8939752386798878"