"custom_step","comic-jazz-192 - _step","comic-jazz-192 - _step__MIN","comic-jazz-192 - _step__MAX","comic-jazz-192 - train_metrics/Usefulness","comic-jazz-192 - train_metrics/Usefulness__MIN","comic-jazz-192 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.7066371770266552","0.7066371770266552","0.7066371770266552"
"2000000","1","1","1","0.8366323577110004","0.8366323577110004","0.8366323577110004"
"3000000","2","2","2","0.8231371199769065","0.8231371199769065","0.8231371199769065"
"4000000","3","3","3","0.920229955877797","0.920229955877797","0.920229955877797"
"5000000","4","4","4","0.8717064733704113","0.8717064733704113","0.8717064733704113"
"6000000","5","5","5","0.9186866767289128","0.9186866767289128","0.9186866767289128"
"7000000","6","6","6","0.9258289219018775","0.9258289219018775","0.9258289219018775"
"8000000","7","7","7","0.9191074643635215","0.9191074643635215","0.9191074643635215"
"9000000","8","8","8","0.9111758958956592","0.9111758958956592","0.9111758958956592"
"10000000","9","9","9","0.9108843323093785","0.9108843323093785","0.9108843323093785"
"11000000","10","10","10","0.9146855980546892","0.9146855980546892","0.9146855980546892"
"12000000","11","11","11","0.9136347241874836","0.9136347241874836","0.9136347241874836"
"13000000","12","12","12","0.9168081381873044","0.9168081381873044","0.9168081381873044"
"14000000","13","13","13","0.9160205768707715","0.9160205768707715","0.9160205768707715"
"15000000","14","14","14","0.9214992495408764","0.9214992495408764","0.9214992495408764"
"16000000","15","15","15","0.9080986484282786","0.9080986484282786","0.9080986484282786"
"17000000","16","16","16","0.9140763438331297","0.9140763438331297","0.9140763438331297"
"18000000","17","17","17","0.9164564977313334","0.9164564977313334","0.9164564977313334"
"19000000","18","18","18","0.9185216846880369","0.9185216846880369","0.9185216846880369"
"20000000","19","19","19","0.9127470478477926","0.9127470478477926","0.9127470478477926"
"21000000","20","20","20","0.9048153185638337","0.9048153185638337","0.9048153185638337"
"22000000","21","21","21","0.9189994288195481","0.9189994288195481","0.9189994288195481"
"23000000","22","22","22","0.913240846604901","0.913240846604901","0.913240846604901"
"24000000","23","23","23","0.9018503732717339","0.9018503732717339","0.9018503732717339"
"25000000","24","24","24","0.8813507007373481","0.8813507007373481","0.8813507007373481"
"26000000","25","25","25","0.9179263401536271","0.9179263401536271","0.9179263401536271"
"27000000","26","26","26","0.9132308327031433","0.9132308327031433","0.9132308327031433"
"28000000","27","27","27","0.9158614097283884","0.9158614097283884","0.9158614097283884"
"29000000","28","28","28","0.9126576821837402","0.9126576821837402","0.9126576821837402"
"30000000","29","29","29","0.9160963166327641","0.9160963166327641","0.9160963166327641"
"31000000","30","30","30","0.8996251681858841","0.8996251681858841","0.8996251681858841"
"32000000","31","31","31","0.9248723096241755","0.9248723096241755","0.9248723096241755"
"33000000","32","32","32","0.8889957043339228","0.8889957043339228","0.8889957043339228"
"34000000","33","33","33","0.9046796627195473","0.9046796627195473","0.9046796627195473"
"35000000","34","34","34","0.8964752559155907","0.8964752559155907","0.8964752559155907"
"36000000","35","35","35","0.8532428728872175","0.8532428728872175","0.8532428728872175"
"37000000","36","36","36","0.9198880534221879","0.9198880534221879","0.9198880534221879"
"38000000","37","37","37","0.9162922760793372","0.9162922760793372","0.9162922760793372"
"39000000","38","38","38","0.9008025555043262","0.9008025555043262","0.9008025555043262"
"40000000","39","39","39","0.9094627146675688","0.9094627146675688","0.9094627146675688"
"41000000","40","40","40","0.9176018521082767","0.9176018521082767","0.9176018521082767"
"42000000","41","41","41","0.9182289983194413","0.9182289983194413","0.9182289983194413"
"43000000","42","42","42","0.9264381409036934","0.9264381409036934","0.9264381409036934"
"44000000","43","43","43","0.9179028809361062","0.9179028809361062","0.9179028809361062"
"45000000","44","44","44","0.9183162401634397","0.9183162401634397","0.9183162401634397"
"46000000","45","45","45","0.9174128075878454","0.9174128075878454","0.9174128075878454"
"47000000","46","46","46","0.869582265500245","0.869582265500245","0.869582265500245"
"48000000","47","47","47","0.9190248594822206","0.9190248594822206","0.9190248594822206"
"49000000","48","48","48","0.9153806839465527","0.9153806839465527","0.9153806839465527"
"50000000","49","49","49","0.9210814959888114","0.9210814959888114","0.9210814959888114"
"51000000","50","50","50","0.9230550439979582","0.9230550439979582","0.9230550439979582"
"52000000","51","51","51","0.9203541777787331","0.9203541777787331","0.9203541777787331"
"53000000","52","52","52","0.872815807165293","0.872815807165293","0.872815807165293"
"54000000","53","53","53","0.9223104721535105","0.9223104721535105","0.9223104721535105"
"55000000","54","54","54","0.9276883258869939","0.9276883258869939","0.9276883258869939"
"56000000","55","55","55","0.9104814115087161","0.9104814115087161","0.9104814115087161"
"57000000","56","56","56","0.9225889747412466","0.9225889747412466","0.9225889747412466"
"58000000","57","57","57","0.9311066786341888","0.9311066786341888","0.9311066786341888"
"59000000","58","58","58","0.9308676314468879","0.9308676314468879","0.9308676314468879"
"60000000","59","59","59","0.9334450558740685","0.9334450558740685","0.9334450558740685"
"61000000","60","60","60","0.9327184492730642","0.9327184492730642","0.9327184492730642"
"62000000","61","61","61","0.9250956658079673","0.9250956658079673","0.9250956658079673"
"63000000","62","62","62","0.9179405874098536","0.9179405874098536","0.9179405874098536"
"64000000","63","63","63","0.9195395580399577","0.9195395580399577","0.9195395580399577"
"65000000","64","64","64","0.9278609912426917","0.9278609912426917","0.9278609912426917"
"66000000","65","65","65","0.9203404985514065","0.9203404985514065","0.9203404985514065"
"67000000","66","66","66","0.911917324831857","0.911917324831857","0.911917324831857"
"68000000","67","67","67","0.9158582769396241","0.9158582769396241","0.9158582769396241"
"69000000","68","68","68","0.9175857059159561","0.9175857059159561","0.9175857059159561"
"70000000","69","69","69","0.8904289961486006","0.8904289961486006","0.8904289961486006"
"71000000","70","70","70","0.9204748422524636","0.9204748422524636","0.9204748422524636"
"72000000","71","71","71","0.920946129035237","0.920946129035237","0.920946129035237"
"73000000","72","72","72","0.9149824799396408","0.9149824799396408","0.9149824799396408"
"74000000","73","73","73","0.9086471306066062","0.9086471306066062","0.9086471306066062"
"75000000","74","74","74","0.9230699878769816","0.9230699878769816","0.9230699878769816"
"76000000","75","75","75","0.915172352494283","0.915172352494283","0.915172352494283"
"77000000","76","76","76","0.9129714839267176","0.9129714839267176","0.9129714839267176"
"78000000","77","77","77","0.9109694292347835","0.9109694292347835","0.9109694292347835"
"79000000","78","78","78","0.9226825051387971","0.9226825051387971","0.9226825051387971"
"80000000","79","79","79","0.9162393534667641","0.9162393534667641","0.9162393534667641"
"81000000","80","80","80","0.9275043715933338","0.9275043715933338","0.9275043715933338"
"82000000","81","81","81","0.9145140602445189","0.9145140602445189","0.9145140602445189"
"83000000","82","82","82","0.9094095446539812","0.9094095446539812","0.9094095446539812"
"84000000","83","83","83","0.9169138800030356","0.9169138800030356","0.9169138800030356"
"85000000","84","84","84","0.9053615126846031","0.9053615126846031","0.9053615126846031"
"86000000","85","85","85","0.9008987135568332","0.9008987135568332","0.9008987135568332"
"87000000","86","86","86","0.9159951165763168","0.9159951165763168","0.9159951165763168"
"88000000","87","87","87","0.9178497888470949","0.9178497888470949","0.9178497888470949"
"89000000","88","88","88","0.9218341133379742","0.9218341133379742","0.9218341133379742"
"90000000","89","89","89","0.9081566240190877","0.9081566240190877","0.9081566240190877"
"91000000","90","90","90","0.9212643414604822","0.9212643414604822","0.9212643414604822"
"92000000","91","91","91","0.9233662388918906","0.9233662388918906","0.9233662388918906"
"93000000","92","92","92","0.9104643476202783","0.9104643476202783","0.9104643476202783"
"94000000","93","93","93","0.9202530986590378","0.9202530986590378","0.9202530986590378"
"95000000","94","94","94","0.9191383542177309","0.9191383542177309","0.9191383542177309"
"96000000","95","95","95","0.9182133893901032","0.9182133893901032","0.9182133893901032"
"97000000","96","96","96","0.9100336346419619","0.9100336346419619","0.9100336346419619"
"98000000","97","97","97","0.9104245985549604","0.9104245985549604","0.9104245985549604"
"99000000","98","98","98","0.9105953818605309","0.9105953818605309","0.9105953818605309"
"100000000","99","99","99","0.920129952583805","0.920129952583805","0.920129952583805"