"custom_step","drawn-forest-186 - _step","drawn-forest-186 - _step__MIN","drawn-forest-186 - _step__MAX","drawn-forest-186 - train_metrics/Usefulness","drawn-forest-186 - train_metrics/Usefulness__MIN","drawn-forest-186 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.391256442503528","0.391256442503528","0.391256442503528"
"2000000","1","1","1","0.46663690480100356","0.46663690480100356","0.46663690480100356"
"3000000","2","2","2","0.5234386284876787","0.5234386284876787","0.5234386284876787"
"4000000","3","3","3","0.5851335779316398","0.5851335779316398","0.5851335779316398"
"5000000","4","4","4","0.6178330013550404","0.6178330013550404","0.6178330013550404"
"6000000","5","5","5","0.6477379925564838","0.6477379925564838","0.6477379925564838"
"7000000","6","6","6","0.6680321036689897","0.6680321036689897","0.6680321036689897"
"8000000","7","7","7","0.6836434274717571","0.6836434274717571","0.6836434274717571"
"9000000","8","8","8","0.6859813230248022","0.6859813230248022","0.6859813230248022"
"10000000","9","9","9","0.6914925817652284","0.6914925817652284","0.6914925817652284"
"11000000","10","10","10","0.7086288993874911","0.7086288993874911","0.7086288993874911"
"12000000","11","11","11","0.7101622256323861","0.7101622256323861","0.7101622256323861"
"13000000","12","12","12","0.7222161874701959","0.7222161874701959","0.7222161874701959"
"14000000","13","13","13","0.7287660432588289","0.7287660432588289","0.7287660432588289"
"15000000","14","14","14","0.7395947149866218","0.7395947149866218","0.7395947149866218"
"16000000","15","15","15","0.7459368653723812","0.7459368653723812","0.7459368653723812"
"17000000","16","16","16","0.743983555454375","0.743983555454375","0.743983555454375"
"18000000","17","17","17","0.751246317310935","0.751246317310935","0.751246317310935"
"19000000","18","18","18","0.7571562852953713","0.7571562852953713","0.7571562852953713"
"20000000","19","19","19","0.7621632907457887","0.7621632907457887","0.7621632907457887"
"21000000","20","20","20","0.7750946513618957","0.7750946513618957","0.7750946513618957"
"22000000","21","21","21","0.7773597930179704","0.7773597930179704","0.7773597930179704"
"23000000","22","22","22","0.7820743744505507","0.7820743744505507","0.7820743744505507"
"24000000","23","23","23","0.79037818677626","0.79037818677626","0.79037818677626"
"25000000","24","24","24","0.79142385251798","0.79142385251798","0.79142385251798"
"26000000","25","25","25","0.7954148241817035","0.7954148241817035","0.7954148241817035"
"27000000","26","26","26","0.8018014362857545","0.8018014362857545","0.8018014362857545"
"28000000","27","27","27","0.8055858066125071","0.8055858066125071","0.8055858066125071"
"29000000","28","28","28","0.8092088424280344","0.8092088424280344","0.8092088424280344"
"30000000","29","29","29","0.8162667034027894","0.8162667034027894","0.8162667034027894"
"31000000","30","30","30","0.8194379264162533","0.8194379264162533","0.8194379264162533"
"32000000","31","31","31","0.8257978701383573","0.8257978701383573","0.8257978701383573"
"33000000","32","32","32","0.8302614103530087","0.8302614103530087","0.8302614103530087"
"34000000","33","33","33","0.8270246338356366","0.8270246338356366","0.8270246338356366"
"35000000","34","34","34","0.8310766014897227","0.8310766014897227","0.8310766014897227"
"36000000","35","35","35","0.8342957485469032","0.8342957485469032","0.8342957485469032"
"37000000","36","36","36","0.8403624900721649","0.8403624900721649","0.8403624900721649"
"38000000","37","37","37","0.8386906135743115","0.8386906135743115","0.8386906135743115"
"39000000","38","38","38","0.8391899504465651","0.8391899504465651","0.8391899504465651"
"40000000","39","39","39","0.8453314849210216","0.8453314849210216","0.8453314849210216"
"41000000","40","40","40","0.8437254394256457","0.8437254394256457","0.8437254394256457"
"42000000","41","41","41","0.8433182012792153","0.8433182012792153","0.8433182012792153"
"43000000","42","42","42","0.8437933669002646","0.8437933669002646","0.8437933669002646"
"44000000","43","43","43","0.8461946317091826","0.8461946317091826","0.8461946317091826"
"45000000","44","44","44","0.8519053286950413","0.8519053286950413","0.8519053286950413"
"46000000","45","45","45","0.8518401118727758","0.8518401118727758","0.8518401118727758"
"47000000","46","46","46","0.8572829930226472","0.8572829930226472","0.8572829930226472"
"48000000","47","47","47","0.8581014026808442","0.8581014026808442","0.8581014026808442"
"49000000","48","48","48","0.8568627691648449","0.8568627691648449","0.8568627691648449"
"50000000","49","49","49","0.8563792285407197","0.8563792285407197","0.8563792285407197"
"51000000","50","50","50","0.8496837501069773","0.8496837501069773","0.8496837501069773"
"52000000","51","51","51","0.8619972491981891","0.8619972491981891","0.8619972491981891"
"53000000","52","52","52","0.8673815553161747","0.8673815553161747","0.8673815553161747"
"54000000","53","53","53","0.8651074359799132","0.8651074359799132","0.8651074359799132"
"55000000","54","54","54","0.8644172417893031","0.8644172417893031","0.8644172417893031"
"56000000","55","55","55","0.8692740132161013","0.8692740132161013","0.8692740132161013"
"57000000","56","56","56","0.8673455708918141","0.8673455708918141","0.8673455708918141"
"58000000","57","57","57","0.8661742878164818","0.8661742878164818","0.8661742878164818"
"59000000","58","58","58","0.8682460495714766","0.8682460495714766","0.8682460495714766"
"60000000","59","59","59","0.8684676545539205","0.8684676545539205","0.8684676545539205"
"61000000","60","60","60","0.8699203905111906","0.8699203905111906","0.8699203905111906"
"62000000","61","61","61","0.8672411597909925","0.8672411597909925","0.8672411597909925"
"63000000","62","62","62","0.8710307352718584","0.8710307352718584","0.8710307352718584"
"64000000","63","63","63","0.8693163671046541","0.8693163671046541","0.8693163671046541"
"65000000","64","64","64","0.8747978094914836","0.8747978094914836","0.8747978094914836"
"66000000","65","65","65","0.8732130360928632","0.8732130360928632","0.8732130360928632"
"67000000","66","66","66","0.8746506952503402","0.8746506952503402","0.8746506952503402"
"68000000","67","67","67","0.876011244531344","0.876011244531344","0.876011244531344"
"69000000","68","68","68","0.8840408176116632","0.8840408176116632","0.8840408176116632"
"70000000","69","69","69","0.8735467446102417","0.8735467446102417","0.8735467446102417"
"71000000","70","70","70","0.8734833680130393","0.8734833680130393","0.8734833680130393"
"72000000","71","71","71","0.8767370821859335","0.8767370821859335","0.8767370821859335"
"73000000","72","72","72","0.8731837721968458","0.8731837721968458","0.8731837721968458"
"74000000","73","73","73","0.8720797112015772","0.8720797112015772","0.8720797112015772"
"75000000","74","74","74","0.8780246475637941","0.8780246475637941","0.8780246475637941"
"76000000","75","75","75","0.8781241681866717","0.8781241681866717","0.8781241681866717"
"77000000","76","76","76","0.8763844928298182","0.8763844928298182","0.8763844928298182"
"78000000","77","77","77","0.8794936003444216","0.8794936003444216","0.8794936003444216"
"79000000","78","78","78","0.8778589402112779","0.8778589402112779","0.8778589402112779"
"80000000","79","79","79","0.8830417994991374","0.8830417994991374","0.8830417994991374"
"81000000","80","80","80","0.8806237616459679","0.8806237616459679","0.8806237616459679"
"82000000","81","81","81","0.8809692410406225","0.8809692410406225","0.8809692410406225"
"83000000","82","82","82","0.8813404131440334","0.8813404131440334","0.8813404131440334"
"84000000","83","83","83","0.8799743824026836","0.8799743824026836","0.8799743824026836"
"85000000","84","84","84","0.883523362982238","0.883523362982238","0.883523362982238"
"86000000","85","85","85","0.8797687317197623","0.8797687317197623","0.8797687317197623"
"87000000","86","86","86","0.8821331471200701","0.8821331471200701","0.8821331471200701"
"88000000","87","87","87","0.8819342379908314","0.8819342379908314","0.8819342379908314"
"89000000","88","88","88","0.8815753943074771","0.8815753943074771","0.8815753943074771"
"90000000","89","89","89","0.8881530830064386","0.8881530830064386","0.8881530830064386"
"91000000","90","90","90","0.8874424127141511","0.8874424127141511","0.8874424127141511"
"92000000","91","91","91","0.8847593591603705","0.8847593591603705","0.8847593591603705"
"93000000","92","92","92","0.8854437911221733","0.8854437911221733","0.8854437911221733"
"94000000","93","93","93","0.8854978063615373","0.8854978063615373","0.8854978063615373"
"95000000","94","94","94","0.8842046106879732","0.8842046106879732","0.8842046106879732"
"96000000","95","95","95","0.8878328793452525","0.8878328793452525","0.8878328793452525"
"97000000","96","96","96","0.8880649750095523","0.8880649750095523","0.8880649750095523"
"98000000","97","97","97","0.8874313795006964","0.8874313795006964","0.8874313795006964"
"99000000","98","98","98","0.883543781471767","0.883543781471767","0.883543781471767"
"100000000","99","99","99","0.8879079330921273","0.8879079330921273","0.8879079330921273"