"custom_step","sleek-rain-188 - _step","sleek-rain-188 - _step__MIN","sleek-rain-188 - _step__MAX","sleek-rain-188 - train_metrics/Weighted_Average73","sleek-rain-188 - train_metrics/Weighted_Average73__MIN","sleek-rain-188 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.46593915372762995","0.46593915372762995","0.46593915372762995"
"2000000","1","1","1","0.5307922420177055","0.5307922420177055","0.5307922420177055"
"3000000","2","2","2","0.5858467115628564","0.5858467115628564","0.5858467115628564"
"4000000","3","3","3","0.6347633982513267","0.6347633982513267","0.6347633982513267"
"5000000","4","4","4","0.6693417247739211","0.6693417247739211","0.6693417247739211"
"6000000","5","5","5","0.6905220385002695","0.6905220385002695","0.6905220385002695"
"7000000","6","6","6","0.707445049065633","0.707445049065633","0.707445049065633"
"8000000","7","7","7","0.7159101135786105","0.7159101135786105","0.7159101135786105"
"9000000","8","8","8","0.725396913035953","0.725396913035953","0.725396913035953"
"10000000","9","9","9","0.7278126085654987","0.7278126085654987","0.7278126085654987"
"11000000","10","10","10","0.7348688826174463","0.7348688826174463","0.7348688826174463"
"12000000","11","11","11","0.7410677027281891","0.7410677027281891","0.7410677027281891"
"13000000","12","12","12","0.7481621169536152","0.7481621169536152","0.7481621169536152"
"14000000","13","13","13","0.7498990731094509","0.7498990731094509","0.7498990731094509"
"15000000","14","14","14","0.7564770489079263","0.7564770489079263","0.7564770489079263"
"16000000","15","15","15","0.7580449773875289","0.7580449773875289","0.7580449773875289"
"17000000","16","16","16","0.7686421257744879","0.7686421257744879","0.7686421257744879"
"18000000","17","17","17","0.7687753166958755","0.7687753166958755","0.7687753166958755"
"19000000","18","18","18","0.775255485782522","0.775255485782522","0.775255485782522"
"20000000","19","19","19","0.7754779062523118","0.7754779062523118","0.7754779062523118"
"21000000","20","20","20","0.782417782548393","0.782417782548393","0.782417782548393"
"22000000","21","21","21","0.7895772947751516","0.7895772947751516","0.7895772947751516"
"23000000","22","22","22","0.7927111677245768","0.7927111677245768","0.7927111677245768"
"24000000","23","23","23","0.7957854391628716","0.7957854391628716","0.7957854391628716"
"25000000","24","24","24","0.7996692656142109","0.7996692656142109","0.7996692656142109"
"26000000","25","25","25","0.7995958347081265","0.7995958347081265","0.7995958347081265"
"27000000","26","26","26","0.804581161668658","0.804581161668658","0.804581161668658"
"28000000","27","27","27","0.8101086333466521","0.8101086333466521","0.8101086333466521"
"29000000","28","28","28","0.8106877999998805","0.8106877999998805","0.8106877999998805"
"30000000","29","29","29","0.8170189059361865","0.8170189059361865","0.8170189059361865"
"31000000","30","30","30","0.818225350439513","0.818225350439513","0.818225350439513"
"32000000","31","31","31","0.818775212733206","0.818775212733206","0.818775212733206"
"33000000","32","32","32","0.8206258926640275","0.8206258926640275","0.8206258926640275"
"34000000","33","33","33","0.8224908699225695","0.8224908699225695","0.8224908699225695"
"35000000","34","34","34","0.8297489350552527","0.8297489350552527","0.8297489350552527"
"36000000","35","35","35","0.8301262757381068","0.8301262757381068","0.8301262757381068"
"37000000","36","36","36","0.8331881273738115","0.8331881273738115","0.8331881273738115"
"38000000","37","37","37","0.8345955017171276","0.8345955017171276","0.8345955017171276"
"39000000","38","38","38","0.83231761651916","0.83231761651916","0.83231761651916"
"40000000","39","39","39","0.8329993439289018","0.8329993439289018","0.8329993439289018"
"41000000","40","40","40","0.832937503477408","0.832937503477408","0.832937503477408"
"42000000","41","41","41","0.8385429792941789","0.8385429792941789","0.8385429792941789"
"43000000","42","42","42","0.8395126157401424","0.8395126157401424","0.8395126157401424"
"44000000","43","43","43","0.8447559979441084","0.8447559979441084","0.8447559979441084"
"45000000","44","44","44","0.8424561309634168","0.8424561309634168","0.8424561309634168"
"46000000","45","45","45","0.8427832863995006","0.8427832863995006","0.8427832863995006"
"47000000","46","46","46","0.8397345184277962","0.8397345184277962","0.8397345184277962"
"48000000","47","47","47","0.8466822847666521","0.8466822847666521","0.8466822847666521"
"49000000","48","48","48","0.8479301199538052","0.8479301199538052","0.8479301199538052"
"50000000","49","49","49","0.848261998837091","0.848261998837091","0.848261998837091"
"51000000","50","50","50","0.8443418194394301","0.8443418194394301","0.8443418194394301"
"52000000","51","51","51","0.8507066288642421","0.8507066288642421","0.8507066288642421"
"53000000","52","52","52","0.8496212583049102","0.8496212583049102","0.8496212583049102"
"54000000","53","53","53","0.8542036640093948","0.8542036640093948","0.8542036640093948"
"55000000","54","54","54","0.8520679442783288","0.8520679442783288","0.8520679442783288"
"56000000","55","55","55","0.8567957062330518","0.8567957062330518","0.8567957062330518"
"57000000","56","56","56","0.8558544959995169","0.8558544959995169","0.8558544959995169"
"58000000","57","57","57","0.8557876520201064","0.8557876520201064","0.8557876520201064"
"59000000","58","58","58","0.8530023893956169","0.8530023893956169","0.8530023893956169"
"60000000","59","59","59","0.8550296665268311","0.8550296665268311","0.8550296665268311"
"61000000","60","60","60","0.8605519909514563","0.8605519909514563","0.8605519909514563"
"62000000","61","61","61","0.854587108443527","0.854587108443527","0.854587108443527"
"63000000","62","62","62","0.8618568080498703","0.8618568080498703","0.8618568080498703"
"64000000","63","63","63","0.8582337840580538","0.8582337840580538","0.8582337840580538"
"65000000","64","64","64","0.8625994771791492","0.8625994771791492","0.8625994771791492"
"66000000","65","65","65","0.8590692733792793","0.8590692733792793","0.8590692733792793"
"67000000","66","66","66","0.8614483684451045","0.8614483684451045","0.8614483684451045"
"68000000","67","67","67","0.8559002293001523","0.8559002293001523","0.8559002293001523"
"69000000","68","68","68","0.8597326050231933","0.8597326050231933","0.8597326050231933"
"70000000","69","69","69","0.8609513952623409","0.8609513952623409","0.8609513952623409"
"71000000","70","70","70","0.8610507506728406","0.8610507506728406","0.8610507506728406"
"72000000","71","71","71","0.8561490280203414","0.8561490280203414","0.8561490280203414"
"73000000","72","72","72","0.8654574060168625","0.8654574060168625","0.8654574060168625"
"74000000","73","73","73","0.8693498623759373","0.8693498623759373","0.8693498623759373"
"75000000","74","74","74","0.8689085162132582","0.8689085162132582","0.8689085162132582"
"76000000","75","75","75","0.8620880066657601","0.8620880066657601","0.8620880066657601"
"77000000","76","76","76","0.8663340897462728","0.8663340897462728","0.8663340897462728"
"78000000","77","77","77","0.8656722358801809","0.8656722358801809","0.8656722358801809"
"79000000","78","78","78","0.869094660027717","0.869094660027717","0.869094660027717"
"80000000","79","79","79","0.8626276081247465","0.8626276081247465","0.8626276081247465"
"81000000","80","80","80","0.8670201705015221","0.8670201705015221","0.8670201705015221"
"82000000","81","81","81","0.8638776041101236","0.8638776041101236","0.8638776041101236"
"83000000","82","82","82","0.8668914232803828","0.8668914232803828","0.8668914232803828"
"84000000","83","83","83","0.868179288055601","0.868179288055601","0.868179288055601"
"85000000","84","84","84","0.8624851658877338","0.8624851658877338","0.8624851658877338"
"86000000","85","85","85","0.8695270078949087","0.8695270078949087","0.8695270078949087"
"87000000","86","86","86","0.870160504605177","0.870160504605177","0.870160504605177"
"88000000","87","87","87","0.8667347700363","0.8667347700363","0.8667347700363"
"89000000","88","88","88","0.8675389631748821","0.8675389631748821","0.8675389631748821"
"90000000","89","89","89","0.872647808211316","0.872647808211316","0.872647808211316"
"91000000","90","90","90","0.8680339356034934","0.8680339356034934","0.8680339356034934"
"92000000","91","91","91","0.8753135298874073","0.8753135298874073","0.8753135298874073"
"93000000","92","92","92","0.8709517018379973","0.8709517018379973","0.8709517018379973"
"94000000","93","93","93","0.873824426017187","0.873824426017187","0.873824426017187"
"95000000","94","94","94","0.87040962123674","0.87040962123674","0.87040962123674"
"96000000","95","95","95","0.876756923587996","0.876756923587996","0.876756923587996"
"97000000","96","96","96","0.8702928053272297","0.8702928053272297","0.8702928053272297"
"98000000","97","97","97","0.8735293534142641","0.8735293534142641","0.8735293534142641"
"99000000","98","98","98","0.8745763689771712","0.8745763689771712","0.8745763689771712"
"100000000","99","99","99","0.876548199644649","0.876548199644649","0.876548199644649"