"custom_step","crisp-puddle-168 - _step","crisp-puddle-168 - _step__MIN","crisp-puddle-168 - _step__MAX","crisp-puddle-168 - train_metrics/Weighted_Average73","crisp-puddle-168 - train_metrics/Weighted_Average73__MIN","crisp-puddle-168 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.4721177895377807","0.4721177895377807","0.4721177895377807"
"2000000","1","1","1","0.5370878792266405","0.5370878792266405","0.5370878792266405"
"3000000","2","2","2","0.5983696820108727","0.5983696820108727","0.5983696820108727"
"4000000","3","3","3","0.6400633260067583","0.6400633260067583","0.6400633260067583"
"5000000","4","4","4","0.6751132515845304","0.6751132515845304","0.6751132515845304"
"6000000","5","5","5","0.6937150437393711","0.6937150437393711","0.6937150437393711"
"7000000","6","6","6","0.7062357855005414","0.7062357855005414","0.7062357855005414"
"8000000","7","7","7","0.7146963091983332","0.7146963091983332","0.7146963091983332"
"9000000","8","8","8","0.725283407747307","0.725283407747307","0.725283407747307"
"10000000","9","9","9","0.7294890044261941","0.7294890044261941","0.7294890044261941"
"11000000","10","10","10","0.7353624988077109","0.7353624988077109","0.7353624988077109"
"12000000","11","11","11","0.7420172996132723","0.7420172996132723","0.7420172996132723"
"13000000","12","12","12","0.7494362004115179","0.7494362004115179","0.7494362004115179"
"14000000","13","13","13","0.7475777299402127","0.7475777299402127","0.7475777299402127"
"15000000","14","14","14","0.7555227581527035","0.7555227581527035","0.7555227581527035"
"16000000","15","15","15","0.7635806133496206","0.7635806133496206","0.7635806133496206"
"17000000","16","16","16","0.7630909199362603","0.7630909199362603","0.7630909199362603"
"18000000","17","17","17","0.7710706426705363","0.7710706426705363","0.7710706426705363"
"19000000","18","18","18","0.7756969430762306","0.7756969430762306","0.7756969430762306"
"20000000","19","19","19","0.7809902109211383","0.7809902109211383","0.7809902109211383"
"21000000","20","20","20","0.784964619922724","0.784964619922724","0.784964619922724"
"22000000","21","21","21","0.7890669609338805","0.7890669609338805","0.7890669609338805"
"23000000","22","22","22","0.793247856179255","0.793247856179255","0.793247856179255"
"24000000","23","23","23","0.7967415505184804","0.7967415505184804","0.7967415505184804"
"25000000","24","24","24","0.7979096244402015","0.7979096244402015","0.7979096244402015"
"26000000","25","25","25","0.8014472847421646","0.8014472847421646","0.8014472847421646"
"27000000","26","26","26","0.8083044940478346","0.8083044940478346","0.8083044940478346"
"28000000","27","27","27","0.8122185196986735","0.8122185196986735","0.8122185196986735"
"29000000","28","28","28","0.8109232252055083","0.8109232252055083","0.8109232252055083"
"30000000","29","29","29","0.8195057428424595","0.8195057428424595","0.8195057428424595"
"31000000","30","30","30","0.816522639775094","0.816522639775094","0.816522639775094"
"32000000","31","31","31","0.8216952801979642","0.8216952801979642","0.8216952801979642"
"33000000","32","32","32","0.8232379509173937","0.8232379509173937","0.8232379509173937"
"34000000","33","33","33","0.8238271599527109","0.8238271599527109","0.8238271599527109"
"35000000","34","34","34","0.8278553302155973","0.8278553302155973","0.8278553302155973"
"36000000","35","35","35","0.8317119714679","0.8317119714679","0.8317119714679"
"37000000","36","36","36","0.8345277714450338","0.8345277714450338","0.8345277714450338"
"38000000","37","37","37","0.8359420519004355","0.8359420519004355","0.8359420519004355"
"39000000","38","38","38","0.8360824417144408","0.8360824417144408","0.8360824417144408"
"40000000","39","39","39","0.839297558511882","0.839297558511882","0.839297558511882"
"41000000","40","40","40","0.8431517276309475","0.8431517276309475","0.8431517276309475"
"42000000","41","41","41","0.8403253319271996","0.8403253319271996","0.8403253319271996"
"43000000","42","42","42","0.84107303034752","0.84107303034752","0.84107303034752"
"44000000","43","43","43","0.8428309534736953","0.8428309534736953","0.8428309534736953"
"45000000","44","44","44","0.8473412064300643","0.8473412064300643","0.8473412064300643"
"46000000","45","45","45","0.8425572214621728","0.8425572214621728","0.8425572214621728"
"47000000","46","46","46","0.8450146484428966","0.8450146484428966","0.8450146484428966"
"48000000","47","47","47","0.8451197693953337","0.8451197693953337","0.8451197693953337"
"49000000","48","48","48","0.8515399113241123","0.8515399113241123","0.8515399113241123"
"50000000","49","49","49","0.8521857050165342","0.8521857050165342","0.8521857050165342"
"51000000","50","50","50","0.8554605860991344","0.8554605860991344","0.8554605860991344"
"52000000","51","51","51","0.8559843716209528","0.8559843716209528","0.8559843716209528"
"53000000","52","52","52","0.8571850013732616","0.8571850013732616","0.8571850013732616"
"54000000","53","53","53","0.8495287294875511","0.8495287294875511","0.8495287294875511"
"55000000","54","54","54","0.850877021195404","0.850877021195404","0.850877021195404"
"56000000","55","55","55","0.8553277899511051","0.8553277899511051","0.8553277899511051"
"57000000","56","56","56","0.8577065550483908","0.8577065550483908","0.8577065550483908"
"58000000","57","57","57","0.8553247346722928","0.8553247346722928","0.8553247346722928"
"59000000","58","58","58","0.8564157960531307","0.8564157960531307","0.8564157960531307"
"60000000","59","59","59","0.8580719197873823","0.8580719197873823","0.8580719197873823"
"61000000","60","60","60","0.8590419934710887","0.8590419934710887","0.8590419934710887"
"62000000","61","61","61","0.85610012827837","0.85610012827837","0.85610012827837"
"63000000","62","62","62","0.8623823836616357","0.8623823836616357","0.8623823836616357"
"64000000","63","63","63","0.8603198014450771","0.8603198014450771","0.8603198014450771"
"65000000","64","64","64","0.8579162931793991","0.8579162931793991","0.8579162931793991"
"66000000","65","65","65","0.8649542147002542","0.8649542147002542","0.8649542147002542"
"67000000","66","66","66","0.8637086358189086","0.8637086358189086","0.8637086358189086"
"68000000","67","67","67","0.8664951629575574","0.8664951629575574","0.8664951629575574"
"69000000","68","68","68","0.8666797903723966","0.8666797903723966","0.8666797903723966"
"70000000","69","69","69","0.8658448209262826","0.8658448209262826","0.8658448209262826"
"71000000","70","70","70","0.8652684874946941","0.8652684874946941","0.8652684874946941"
"72000000","71","71","71","0.867079421013714","0.867079421013714","0.867079421013714"
"73000000","72","72","72","0.870861166360072","0.870861166360072","0.870861166360072"
"74000000","73","73","73","0.8679233773713292","0.8679233773713292","0.8679233773713292"
"75000000","74","74","74","0.8658518035399996","0.8658518035399996","0.8658518035399996"
"76000000","75","75","75","0.8609418672404485","0.8609418672404485","0.8609418672404485"
"77000000","76","76","76","0.8689469761425384","0.8689469761425384","0.8689469761425384"
"78000000","77","77","77","0.867518007758889","0.867518007758889","0.867518007758889"
"79000000","78","78","78","0.8682474262867571","0.8682474262867571","0.8682474262867571"
"80000000","79","79","79","0.8647180503009564","0.8647180503009564","0.8647180503009564"
"81000000","80","80","80","0.8692198992243672","0.8692198992243672","0.8692198992243672"
"82000000","81","81","81","0.8720345411270165","0.8720345411270165","0.8720345411270165"
"83000000","82","82","82","0.8630300705555034","0.8630300705555034","0.8630300705555034"
"84000000","83","83","83","0.8624142578959159","0.8624142578959159","0.8624142578959159"
"85000000","84","84","84","0.8670660295435152","0.8670660295435152","0.8670660295435152"
"86000000","85","85","85","0.8697713693522783","0.8697713693522783","0.8697713693522783"
"87000000","86","86","86","0.8710483004458544","0.8710483004458544","0.8710483004458544"
"88000000","87","87","87","0.8702672093602684","0.8702672093602684","0.8702672093602684"
"89000000","88","88","88","0.872377117084066","0.872377117084066","0.872377117084066"
"90000000","89","89","89","0.8714034353005002","0.8714034353005002","0.8714034353005002"
"91000000","90","90","90","0.8672313209747109","0.8672313209747109","0.8672313209747109"
"92000000","91","91","91","0.8714520422296093","0.8714520422296093","0.8714520422296093"
"93000000","92","92","92","0.8695316553695571","0.8695316553695571","0.8695316553695571"
"94000000","93","93","93","0.8663161232082419","0.8663161232082419","0.8663161232082419"
"95000000","94","94","94","0.8767642470452285","0.8767642470452285","0.8767642470452285"
"96000000","95","95","95","0.873052893152956","0.873052893152956","0.873052893152956"
"97000000","96","96","96","0.8772330322600331","0.8772330322600331","0.8772330322600331"
"98000000","97","97","97","0.8785809922664284","0.8785809922664284","0.8785809922664284"
"99000000","98","98","98","0.8779034741155527","0.8779034741155527","0.8779034741155527"
"100000000","99","99","99","0.8761315472205128","0.8761315472205128","0.8761315472205128"