"custom_step","deep-bush-181 - _step","deep-bush-181 - _step__MIN","deep-bush-181 - _step__MAX","deep-bush-181 - train_metrics/Weighted_Average73","deep-bush-181 - train_metrics/Weighted_Average73__MIN","deep-bush-181 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.4717110628645234","0.4717110628645234","0.4717110628645234"
"2000000","1","1","1","0.5335972841568174","0.5335972841568174","0.5335972841568174"
"3000000","2","2","2","0.5880714841936076","0.5880714841936076","0.5880714841936076"
"4000000","3","3","3","0.638061766231555","0.638061766231555","0.638061766231555"
"5000000","4","4","4","0.6723452000137616","0.6723452000137616","0.6723452000137616"
"6000000","5","5","5","0.6895977502447339","0.6895977502447339","0.6895977502447339"
"7000000","6","6","6","0.7054042466550788","0.7054042466550788","0.7054042466550788"
"8000000","7","7","7","0.7150812496054431","0.7150812496054431","0.7150812496054431"
"9000000","8","8","8","0.7189773885277618","0.7189773885277618","0.7189773885277618"
"10000000","9","9","9","0.7270745461924762","0.7270745461924762","0.7270745461924762"
"11000000","10","10","10","0.7332924235036562","0.7332924235036562","0.7332924235036562"
"12000000","11","11","11","0.7417297360757384","0.7417297360757384","0.7417297360757384"
"13000000","12","12","12","0.7448888965964369","0.7448888965964369","0.7448888965964369"
"14000000","13","13","13","0.752954887711004","0.752954887711004","0.752954887711004"
"15000000","14","14","14","0.7549336097936412","0.7549336097936412","0.7549336097936412"
"16000000","15","15","15","0.7602642715542898","0.7602642715542898","0.7602642715542898"
"17000000","16","16","16","0.7658605413144498","0.7658605413144498","0.7658605413144498"
"18000000","17","17","17","0.7698263277752175","0.7698263277752175","0.7698263277752175"
"19000000","18","18","18","0.7762800879489069","0.7762800879489069","0.7762800879489069"
"20000000","19","19","19","0.779799515487155","0.779799515487155","0.779799515487155"
"21000000","20","20","20","0.7805294462484493","0.7805294462484493","0.7805294462484493"
"22000000","21","21","21","0.7867391055519726","0.7867391055519726","0.7867391055519726"
"23000000","22","22","22","0.7883944878266079","0.7883944878266079","0.7883944878266079"
"24000000","23","23","23","0.7947915584725932","0.7947915584725932","0.7947915584725932"
"25000000","24","24","24","0.7955537861290658","0.7955537861290658","0.7955537861290658"
"26000000","25","25","25","0.8016093308536438","0.8016093308536438","0.8016093308536438"
"27000000","26","26","26","0.8029663199324182","0.8029663199324182","0.8029663199324182"
"28000000","27","27","27","0.810419845008619","0.810419845008619","0.810419845008619"
"29000000","28","28","28","0.8087771564366486","0.8087771564366486","0.8087771564366486"
"30000000","29","29","29","0.8133310914061291","0.8133310914061291","0.8133310914061291"
"31000000","30","30","30","0.8183853126365026","0.8183853126365026","0.8183853126365026"
"32000000","31","31","31","0.8201182079943453","0.8201182079943453","0.8201182079943453"
"33000000","32","32","32","0.8224985666611596","0.8224985666611596","0.8224985666611596"
"34000000","33","33","33","0.8214328841368895","0.8214328841368895","0.8214328841368895"
"35000000","34","34","34","0.8306929737896195","0.8306929737896195","0.8306929737896195"
"36000000","35","35","35","0.8205765006372588","0.8205765006372588","0.8205765006372588"
"37000000","36","36","36","0.8325618926375575","0.8325618926375575","0.8325618926375575"
"38000000","37","37","37","0.835348519984383","0.835348519984383","0.835348519984383"
"39000000","38","38","38","0.8359977127423535","0.8359977127423535","0.8359977127423535"
"40000000","39","39","39","0.8392301633581868","0.8392301633581868","0.8392301633581868"
"41000000","40","40","40","0.8430634674685964","0.8430634674685964","0.8430634674685964"
"42000000","41","41","41","0.8428434590781652","0.8428434590781652","0.8428434590781652"
"43000000","42","42","42","0.8426371857469056","0.8426371857469056","0.8426371857469056"
"44000000","43","43","43","0.8425030568397622","0.8425030568397622","0.8425030568397622"
"45000000","44","44","44","0.8431815606194797","0.8431815606194797","0.8431815606194797"
"46000000","45","45","45","0.8457030591064958","0.8457030591064958","0.8457030591064958"
"47000000","46","46","46","0.8494000284929619","0.8494000284929619","0.8494000284929619"
"48000000","47","47","47","0.8494410123994915","0.8494410123994915","0.8494410123994915"
"49000000","48","48","48","0.8491309598318225","0.8491309598318225","0.8491309598318225"
"50000000","49","49","49","0.8486567731442761","0.8486567731442761","0.8486567731442761"
"51000000","50","50","50","0.8490306913887311","0.8490306913887311","0.8490306913887311"
"52000000","51","51","51","0.8545209870616381","0.8545209870616381","0.8545209870616381"
"53000000","52","52","52","0.8502647987861514","0.8502647987861514","0.8502647987861514"
"54000000","53","53","53","0.8524070162069997","0.8524070162069997","0.8524070162069997"
"55000000","54","54","54","0.8567514188878445","0.8567514188878445","0.8567514188878445"
"56000000","55","55","55","0.8583386146004606","0.8583386146004606","0.8583386146004606"
"57000000","56","56","56","0.8592990979851997","0.8592990979851997","0.8592990979851997"
"58000000","57","57","57","0.8566867559478055","0.8566867559478055","0.8566867559478055"
"59000000","58","58","58","0.8526553998187973","0.8526553998187973","0.8526553998187973"
"60000000","59","59","59","0.8571024060477369","0.8571024060477369","0.8571024060477369"
"61000000","60","60","60","0.8613022455757033","0.8613022455757033","0.8613022455757033"
"62000000","61","61","61","0.8591726303402933","0.8591726303402933","0.8591726303402933"
"63000000","62","62","62","0.8597120550207795","0.8597120550207795","0.8597120550207795"
"64000000","63","63","63","0.860843222205721","0.860843222205721","0.860843222205721"
"65000000","64","64","64","0.8600686397261825","0.8600686397261825","0.8600686397261825"
"66000000","65","65","65","0.8670616066902597","0.8670616066902597","0.8670616066902597"
"67000000","66","66","66","0.8616022838279624","0.8616022838279624","0.8616022838279624"
"68000000","67","67","67","0.8633178850697076","0.8633178850697076","0.8633178850697076"
"69000000","68","68","68","0.8613037093170035","0.8613037093170035","0.8613037093170035"
"70000000","69","69","69","0.8677772358528292","0.8677772358528292","0.8677772358528292"
"71000000","70","70","70","0.8586610657482253","0.8586610657482253","0.8586610657482253"
"72000000","71","71","71","0.8647013204051228","0.8647013204051228","0.8647013204051228"
"73000000","72","72","72","0.8644159085222605","0.8644159085222605","0.8644159085222605"
"74000000","73","73","73","0.8679785331369525","0.8679785331369525","0.8679785331369525"
"75000000","74","74","74","0.8686253968259785","0.8686253968259785","0.8686253968259785"
"76000000","75","75","75","0.8684722733140333","0.8684722733140333","0.8684722733140333"
"77000000","76","76","76","0.8726448913285023","0.8726448913285023","0.8726448913285023"
"78000000","77","77","77","0.8701542159376142","0.8701542159376142","0.8701542159376142"
"79000000","78","78","78","0.8702835243551146","0.8702835243551146","0.8702835243551146"
"80000000","79","79","79","0.8703453981692161","0.8703453981692161","0.8703453981692161"
"81000000","80","80","80","0.8674816418373927","0.8674816418373927","0.8674816418373927"
"82000000","81","81","81","0.8661258800240833","0.8661258800240833","0.8661258800240833"
"83000000","82","82","82","0.8737458588733784","0.8737458588733784","0.8737458588733784"
"84000000","83","83","83","0.8716851230372813","0.8716851230372813","0.8716851230372813"
"85000000","84","84","84","0.8684674885418862","0.8684674885418862","0.8684674885418862"
"86000000","85","85","85","0.8717957135327576","0.8717957135327576","0.8717957135327576"
"87000000","86","86","86","0.874984317775308","0.874984317775308","0.874984317775308"
"88000000","87","87","87","0.8742414853032296","0.8742414853032296","0.8742414853032296"
"89000000","88","88","88","0.8706253443639635","0.8706253443639635","0.8706253443639635"
"90000000","89","89","89","0.8712007351284995","0.8712007351284995","0.8712007351284995"
"91000000","90","90","90","0.8762933718659014","0.8762933718659014","0.8762933718659014"
"92000000","91","91","91","0.875079319308285","0.875079319308285","0.875079319308285"
"93000000","92","92","92","0.8751015305210912","0.8751015305210912","0.8751015305210912"
"94000000","93","93","93","0.8678724849207958","0.8678724849207958","0.8678724849207958"
"95000000","94","94","94","0.872915103349871","0.872915103349871","0.872915103349871"
"96000000","95","95","95","0.8730016507887137","0.8730016507887137","0.8730016507887137"
"97000000","96","96","96","0.8792442360283912","0.8792442360283912","0.8792442360283912"
"98000000","97","97","97","0.8771656782856648","0.8771656782856648","0.8771656782856648"
"99000000","98","98","98","0.8729741945907539","0.8729741945907539","0.8729741945907539"
"100000000","99","99","99","0.8720841506900048","0.8720841506900048","0.8720841506900048"