"custom_step","distinctive-blaze-187 - _step","distinctive-blaze-187 - _step__MIN","distinctive-blaze-187 - _step__MAX","distinctive-blaze-187 - train_metrics/Weighted_Average73","distinctive-blaze-187 - train_metrics/Weighted_Average73__MIN","distinctive-blaze-187 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.47131403903097424","0.47131403903097424","0.47131403903097424"
"2000000","1","1","1","0.5318146916268344","0.5318146916268344","0.5318146916268344"
"3000000","2","2","2","0.5869855202018687","0.5869855202018687","0.5869855202018687"
"4000000","3","3","3","0.6398479918073421","0.6398479918073421","0.6398479918073421"
"5000000","4","4","4","0.6694209616512536","0.6694209616512536","0.6694209616512536"
"6000000","5","5","5","0.6902912950342037","0.6902912950342037","0.6902912950342037"
"7000000","6","6","6","0.7061558759390035","0.7061558759390035","0.7061558759390035"
"8000000","7","7","7","0.7155244014096552","0.7155244014096552","0.7155244014096552"
"9000000","8","8","8","0.7208754116240055","0.7208754116240055","0.7208754116240055"
"10000000","9","9","9","0.7291470302624348","0.7291470302624348","0.7291470302624348"
"11000000","10","10","10","0.7358889248168734","0.7358889248168734","0.7358889248168734"
"12000000","11","11","11","0.7408678102561204","0.7408678102561204","0.7408678102561204"
"13000000","12","12","12","0.7459546861339289","0.7459546861339289","0.7459546861339289"
"14000000","13","13","13","0.7515121511803484","0.7515121511803484","0.7515121511803484"
"15000000","14","14","14","0.7549857154821158","0.7549857154821158","0.7549857154821158"
"16000000","15","15","15","0.7648145814870109","0.7648145814870109","0.7648145814870109"
"17000000","16","16","16","0.7640032270908026","0.7640032270908026","0.7640032270908026"
"18000000","17","17","17","0.770159283474076","0.770159283474076","0.770159283474076"
"19000000","18","18","18","0.7731232784649729","0.7731232784649729","0.7731232784649729"
"20000000","19","19","19","0.7797253363395348","0.7797253363395348","0.7797253363395348"
"21000000","20","20","20","0.7838601034573969","0.7838601034573969","0.7838601034573969"
"22000000","21","21","21","0.78722241154075","0.78722241154075","0.78722241154075"
"23000000","22","22","22","0.791796973975766","0.791796973975766","0.791796973975766"
"24000000","23","23","23","0.7950784738256614","0.7950784738256614","0.7950784738256614"
"25000000","24","24","24","0.7953817326918499","0.7953817326918499","0.7953817326918499"
"26000000","25","25","25","0.8012901407765287","0.8012901407765287","0.8012901407765287"
"27000000","26","26","26","0.8028563397693937","0.8028563397693937","0.8028563397693937"
"28000000","27","27","27","0.8095341021918463","0.8095341021918463","0.8095341021918463"
"29000000","28","28","28","0.8113069349632576","0.8113069349632576","0.8113069349632576"
"30000000","29","29","29","0.8141400434945314","0.8141400434945314","0.8141400434945314"
"31000000","30","30","30","0.8188885142787286","0.8188885142787286","0.8188885142787286"
"32000000","31","31","31","0.8216913509545993","0.8216913509545993","0.8216913509545993"
"33000000","32","32","32","0.823106807284843","0.823106807284843","0.823106807284843"
"34000000","33","33","33","0.8254192860984277","0.8254192860984277","0.8254192860984277"
"35000000","34","34","34","0.8240063028418231","0.8240063028418231","0.8240063028418231"
"36000000","35","35","35","0.8298557691137836","0.8298557691137836","0.8298557691137836"
"37000000","36","36","36","0.829468960568201","0.829468960568201","0.829468960568201"
"38000000","37","37","37","0.8302290921046265","0.8302290921046265","0.8302290921046265"
"39000000","38","38","38","0.8387219857469921","0.8387219857469921","0.8387219857469921"
"40000000","39","39","39","0.8333090624697134","0.8333090624697134","0.8333090624697134"
"41000000","40","40","40","0.8361709482076336","0.8361709482076336","0.8361709482076336"
"42000000","41","41","41","0.8342953549398842","0.8342953549398842","0.8342953549398842"
"43000000","42","42","42","0.840564058823032","0.840564058823032","0.840564058823032"
"44000000","43","43","43","0.8455306501542301","0.8455306501542301","0.8455306501542301"
"45000000","44","44","44","0.843717440796338","0.843717440796338","0.843717440796338"
"46000000","45","45","45","0.845513809369734","0.845513809369734","0.845513809369734"
"47000000","46","46","46","0.8479787685785479","0.8479787685785479","0.8479787685785479"
"48000000","47","47","47","0.8478530146940004","0.8478530146940004","0.8478530146940004"
"49000000","48","48","48","0.8443930449098821","0.8443930449098821","0.8443930449098821"
"50000000","49","49","49","0.8500716505558061","0.8500716505558061","0.8500716505558061"
"51000000","50","50","50","0.8487791384200466","0.8487791384200466","0.8487791384200466"
"52000000","51","51","51","0.8494028049646709","0.8494028049646709","0.8494028049646709"
"53000000","52","52","52","0.8485761031425405","0.8485761031425405","0.8485761031425405"
"54000000","53","53","53","0.852716897744231","0.852716897744231","0.852716897744231"
"55000000","54","54","54","0.8540024548111949","0.8540024548111949","0.8540024548111949"
"56000000","55","55","55","0.8535382746006399","0.8535382746006399","0.8535382746006399"
"57000000","56","56","56","0.85545286881944","0.85545286881944","0.85545286881944"
"58000000","57","57","57","0.8538099862589813","0.8538099862589813","0.8538099862589813"
"59000000","58","58","58","0.858209174233181","0.858209174233181","0.858209174233181"
"60000000","59","59","59","0.8542427559295547","0.8542427559295547","0.8542427559295547"
"61000000","60","60","60","0.8553279298695993","0.8553279298695993","0.8553279298695993"
"62000000","61","61","61","0.854656394975218","0.854656394975218","0.854656394975218"
"63000000","62","62","62","0.8605627192842377","0.8605627192842377","0.8605627192842377"
"64000000","63","63","63","0.8600177797851198","0.8600177797851198","0.8600177797851198"
"65000000","64","64","64","0.8572858295525214","0.8572858295525214","0.8572858295525214"
"66000000","65","65","65","0.8556599303899379","0.8556599303899379","0.8556599303899379"
"67000000","66","66","66","0.858163359513825","0.858163359513825","0.858163359513825"
"68000000","67","67","67","0.8615357509060932","0.8615357509060932","0.8615357509060932"
"69000000","68","68","68","0.8604597771502764","0.8604597771502764","0.8604597771502764"
"70000000","69","69","69","0.8590286880951472","0.8590286880951472","0.8590286880951472"
"71000000","70","70","70","0.8550228397820517","0.8550228397820517","0.8550228397820517"
"72000000","71","71","71","0.8601253423690163","0.8601253423690163","0.8601253423690163"
"73000000","72","72","72","0.8651755110908428","0.8651755110908428","0.8651755110908428"
"74000000","73","73","73","0.8612113554750216","0.8612113554750216","0.8612113554750216"
"75000000","74","74","74","0.8630977569527505","0.8630977569527505","0.8630977569527505"
"76000000","75","75","75","0.8621531189683205","0.8621531189683205","0.8621531189683205"
"77000000","76","76","76","0.8613430703517132","0.8613430703517132","0.8613430703517132"
"78000000","77","77","77","0.8614935651043205","0.8614935651043205","0.8614935651043205"
"79000000","78","78","78","0.868303152517085","0.868303152517085","0.868303152517085"
"80000000","79","79","79","0.8581617719391972","0.8581617719391972","0.8581617719391972"
"81000000","80","80","80","0.8699830396043615","0.8699830396043615","0.8699830396043615"
"82000000","81","81","81","0.864823864570786","0.864823864570786","0.864823864570786"
"83000000","82","82","82","0.8683066796131238","0.8683066796131238","0.8683066796131238"
"84000000","83","83","83","0.868580534813917","0.868580534813917","0.868580534813917"
"85000000","84","84","84","0.8690608695478421","0.8690608695478421","0.8690608695478421"
"86000000","85","85","85","0.8700550974240009","0.8700550974240009","0.8700550974240009"
"87000000","86","86","86","0.8677404182602828","0.8677404182602828","0.8677404182602828"
"88000000","87","87","87","0.8668349181595999","0.8668349181595999","0.8668349181595999"
"89000000","88","88","88","0.8614792919451588","0.8614792919451588","0.8614792919451588"
"90000000","89","89","89","0.8606504440464336","0.8606504440464336","0.8606504440464336"
"91000000","90","90","90","0.868040464082167","0.868040464082167","0.868040464082167"
"92000000","91","91","91","0.8706004093033473","0.8706004093033473","0.8706004093033473"
"93000000","92","92","92","0.8661787866497261","0.8661787866497261","0.8661787866497261"
"94000000","93","93","93","0.8732766179491436","0.8732766179491436","0.8732766179491436"
"95000000","94","94","94","0.8694644562762099","0.8694644562762099","0.8694644562762099"
"96000000","95","95","95","0.8752296211123738","0.8752296211123738","0.8752296211123738"
"97000000","96","96","96","0.8686402686100888","0.8686402686100888","0.8686402686100888"
"98000000","97","97","97","0.8691512995780419","0.8691512995780419","0.8691512995780419"
"99000000","98","98","98","0.8722956096864742","0.8722956096864742","0.8722956096864742"
"100000000","99","99","99","0.8675698915237327","0.8675698915237327","0.8675698915237327"