"custom_step","sunny-shape-191 - _step","sunny-shape-191 - _step__MIN","sunny-shape-191 - _step__MAX","sunny-shape-191 - train_metrics/Usefulness","sunny-shape-191 - train_metrics/Usefulness__MIN","sunny-shape-191 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.49627516025452795","0.49627516025452795","0.49627516025452795"
"2000000","1","1","1","0.6822161775872888","0.6822161775872888","0.6822161775872888"
"3000000","2","2","2","0.8124860558911979","0.8124860558911979","0.8124860558911979"
"4000000","3","3","3","0.8760074621485273","0.8760074621485273","0.8760074621485273"
"5000000","4","4","4","0.9050057312597913","0.9050057312597913","0.9050057312597913"
"6000000","5","5","5","0.9196238048535892","0.9196238048535892","0.9196238048535892"
"7000000","6","6","6","0.9276892989659384","0.9276892989659384","0.9276892989659384"
"8000000","7","7","7","0.930361890643692","0.930361890643692","0.930361890643692"
"9000000","8","8","8","0.9338281046051595","0.9338281046051595","0.9338281046051595"
"10000000","9","9","9","0.9371063137729324","0.9371063137729324","0.9371063137729324"
"11000000","10","10","10","0.9404264061963391","0.9404264061963391","0.9404264061963391"
"12000000","11","11","11","0.9440186083657434","0.9440186083657434","0.9440186083657434"
"13000000","12","12","12","0.9471460737723006","0.9471460737723006","0.9471460737723006"
"14000000","13","13","13","0.9480012811731048","0.9480012811731048","0.9480012811731048"
"15000000","14","14","14","0.950183706397429","0.950183706397429","0.950183706397429"
"16000000","15","15","15","0.9517772707865944","0.9517772707865944","0.9517772707865944"
"17000000","16","16","16","0.9529345868769473","0.9529345868769473","0.9529345868769473"
"18000000","17","17","17","0.95384649112398","0.95384649112398","0.95384649112398"
"19000000","18","18","18","0.9542359798885645","0.9542359798885645","0.9542359798885645"
"20000000","19","19","19","0.95450449680599","0.95450449680599","0.95450449680599"
"21000000","20","20","20","0.9549446459298253","0.9549446459298253","0.9549446459298253"
"22000000","21","21","21","0.9539280876025342","0.9539280876025342","0.9539280876025342"
"23000000","22","22","22","0.9546786361368594","0.9546786361368594","0.9546786361368594"
"24000000","23","23","23","0.9542517095763973","0.9542517095763973","0.9542517095763973"
"25000000","24","24","24","0.9555897531429022","0.9555897531429022","0.9555897531429022"
"26000000","25","25","25","0.9558276165500064","0.9558276165500064","0.9558276165500064"
"27000000","26","26","26","0.9553140605666466","0.9553140605666466","0.9553140605666466"
"28000000","27","27","27","0.9568630818850354","0.9568630818850354","0.9568630818850354"
"29000000","28","28","28","0.9576199396099017","0.9576199396099017","0.9576199396099017"
"30000000","29","29","29","0.957912416263727","0.957912416263727","0.957912416263727"
"31000000","30","30","30","0.959050731279431","0.959050731279431","0.959050731279431"
"32000000","31","31","31","0.9594748691942375","0.9594748691942375","0.9594748691942375"
"33000000","32","32","32","0.958951372780816","0.958951372780816","0.958951372780816"
"34000000","33","33","33","0.9599457439885487","0.9599457439885487","0.9599457439885487"
"35000000","34","34","34","0.9594636420923821","0.9594636420923821","0.9594636420923821"
"36000000","35","35","35","0.9605566912477415","0.9605566912477415","0.9605566912477415"
"37000000","36","36","36","0.9602521462074861","0.9602521462074861","0.9602521462074861"
"38000000","37","37","37","0.9596400434056604","0.9596400434056604","0.9596400434056604"
"39000000","38","38","38","0.9601779530788306","0.9601779530788306","0.9601779530788306"
"40000000","39","39","39","0.9610073660080877","0.9610073660080877","0.9610073660080877"
"41000000","40","40","40","0.9616504348266484","0.9616504348266484","0.9616504348266484"
"42000000","41","41","41","0.960166754526588","0.960166754526588","0.960166754526588"
"43000000","42","42","42","0.9606041915439656","0.9606041915439656","0.9606041915439656"
"44000000","43","43","43","0.9603566370839417","0.9603566370839417","0.9603566370839417"
"45000000","44","44","44","0.9603739611674063","0.9603739611674063","0.9603739611674063"
"46000000","45","45","45","0.9621194572401617","0.9621194572401617","0.9621194572401617"
"47000000","46","46","46","0.9615671344332933","0.9615671344332933","0.9615671344332933"
"48000000","47","47","47","0.9615116558551599","0.9615116558551599","0.9615116558551599"
"49000000","48","48","48","0.9618303787417903","0.9618303787417903","0.9618303787417903"
"50000000","49","49","49","0.9623392213111444","0.9623392213111444","0.9623392213111444"
"51000000","50","50","50","0.9625120192880656","0.9625120192880656","0.9625120192880656"
"52000000","51","51","51","0.961519562903528","0.961519562903528","0.961519562903528"
"53000000","52","52","52","0.9602448071729862","0.9602448071729862","0.9602448071729862"
"54000000","53","53","53","0.9594925867803791","0.9594925867803791","0.9594925867803791"
"55000000","54","54","54","0.9604909642317093","0.9604909642317093","0.9604909642317093"
"56000000","55","55","55","0.9614925520441081","0.9614925520441081","0.9614925520441081"
"57000000","56","56","56","0.9617474886844648","0.9617474886844648","0.9617474886844648"
"58000000","57","57","57","0.9608652975035329","0.9608652975035329","0.9608652975035329"
"59000000","58","58","58","0.9601226445240235","0.9601226445240235","0.9601226445240235"
"60000000","59","59","59","0.960266316579938","0.960266316579938","0.960266316579938"
"61000000","60","60","60","0.9601912373465024","0.9601912373465024","0.9601912373465024"
"62000000","61","61","61","0.9602611605401417","0.9602611605401417","0.9602611605401417"
"63000000","62","62","62","0.9609548451224198","0.9609548451224198","0.9609548451224198"
"64000000","63","63","63","0.9611157685732025","0.9611157685732025","0.9611157685732025"
"65000000","64","64","64","0.9605669637922383","0.9605669637922383","0.9605669637922383"
"66000000","65","65","65","0.9611728153677614","0.9611728153677614","0.9611728153677614"
"67000000","66","66","66","0.9590481314029455","0.9590481314029455","0.9590481314029455"
"68000000","67","67","67","0.9586629709619501","0.9586629709619501","0.9586629709619501"
"69000000","68","68","68","0.957342149465659","0.957342149465659","0.957342149465659"
"70000000","69","69","69","0.9585349692129712","0.9585349692129712","0.9585349692129712"
"71000000","70","70","70","0.9584454624306137","0.9584454624306137","0.9584454624306137"
"72000000","71","71","71","0.956441207049827","0.956441207049827","0.956441207049827"
"73000000","72","72","72","0.9557806960119419","0.9557806960119419","0.9557806960119419"
"74000000","73","73","73","0.9574504292304891","0.9574504292304891","0.9574504292304891"
"75000000","74","74","74","0.9570063720029924","0.9570063720029924","0.9570063720029924"
"76000000","75","75","75","0.9587760802484521","0.9587760802484521","0.9587760802484521"
"77000000","76","76","76","0.9574618521753614","0.9574618521753614","0.9574618521753614"
"78000000","77","77","77","0.9566283648217275","0.9566283648217275","0.9566283648217275"
"79000000","78","78","78","0.9578217816722422","0.9578217816722422","0.9578217816722422"
"80000000","79","79","79","0.9581523245991377","0.9581523245991377","0.9581523245991377"
"81000000","80","80","80","0.9566926461499299","0.9566926461499299","0.9566926461499299"
"82000000","81","81","81","0.9567613920110145","0.9567613920110145","0.9567613920110145"
"83000000","82","82","82","0.9566123156552043","0.9566123156552043","0.9566123156552043"
"84000000","83","83","83","0.9546624600899144","0.9546624600899144","0.9546624600899144"
"85000000","84","84","84","0.9565755870712217","0.9565755870712217","0.9565755870712217"
"86000000","85","85","85","0.9566931419975083","0.9566931419975083","0.9566931419975083"
"87000000","86","86","86","0.9559505819334139","0.9559505819334139","0.9559505819334139"
"88000000","87","87","87","0.9556835152221869","0.9556835152221869","0.9556835152221869"
"89000000","88","88","88","0.9556796775647233","0.9556796775647233","0.9556796775647233"
"90000000","89","89","89","0.956210395902753","0.956210395902753","0.956210395902753"
"91000000","90","90","90","0.9558212151763692","0.9558212151763692","0.9558212151763692"
"92000000","91","91","91","0.9554782302076511","0.9554782302076511","0.9554782302076511"
"93000000","92","92","92","0.9555228671538887","0.9555228671538887","0.9555228671538887"
"94000000","93","93","93","0.9550744927856648","0.9550744927856648","0.9550744927856648"
"95000000","94","94","94","0.9568644771887519","0.9568644771887519","0.9568644771887519"
"96000000","95","95","95","0.9553106649361063","0.9553106649361063","0.9553106649361063"
"97000000","96","96","96","0.9548494253309872","0.9548494253309872","0.9548494253309872"
"98000000","97","97","97","0.9552406934239542","0.9552406934239542","0.9552406934239542"
"99000000","98","98","98","0.9558124364826569","0.9558124364826569","0.9558124364826569"
"100000000","99","99","99","0.9541176696283026","0.9541176696283026","0.9541176696283026"