"custom_step","jolly-cosmos-189 - _step","jolly-cosmos-189 - _step__MIN","jolly-cosmos-189 - _step__MAX","jolly-cosmos-189 - train_metrics/Usefulness","jolly-cosmos-189 - train_metrics/Usefulness__MIN","jolly-cosmos-189 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.4959792114352475","0.4959792114352475","0.4959792114352475"
"2000000","1","1","1","0.6807074592247134","0.6807074592247134","0.6807074592247134"
"3000000","2","2","2","0.8054423864465762","0.8054423864465762","0.8054423864465762"
"4000000","3","3","3","0.8714344091293338","0.8714344091293338","0.8714344091293338"
"5000000","4","4","4","0.9025509140085259","0.9025509140085259","0.9025509140085259"
"6000000","5","5","5","0.9188994670226173","0.9188994670226173","0.9188994670226173"
"7000000","6","6","6","0.9279266414400487","0.9279266414400487","0.9279266414400487"
"8000000","7","7","7","0.9320490912934701","0.9320490912934701","0.9320490912934701"
"9000000","8","8","8","0.9362474990613677","0.9362474990613677","0.9362474990613677"
"10000000","9","9","9","0.9394112762483273","0.9394112762483273","0.9394112762483273"
"11000000","10","10","10","0.9428717049693623","0.9428717049693623","0.9428717049693623"
"12000000","11","11","11","0.9463983968802021","0.9463983968802021","0.9463983968802021"
"13000000","12","12","12","0.9480610859401873","0.9480610859401873","0.9480610859401873"
"14000000","13","13","13","0.948935007867709","0.948935007867709","0.948935007867709"
"15000000","14","14","14","0.9498280289450137","0.9498280289450137","0.9498280289450137"
"16000000","15","15","15","0.9517869652800792","0.9517869652800792","0.9517869652800792"
"17000000","16","16","16","0.9527911520128829","0.9527911520128829","0.9527911520128829"
"18000000","17","17","17","0.953095483752073","0.953095483752073","0.953095483752073"
"19000000","18","18","18","0.9521963271315877","0.9521963271315877","0.9521963271315877"
"20000000","19","19","19","0.9535523616062155","0.9535523616062155","0.9535523616062155"
"21000000","20","20","20","0.9539539352336437","0.9539539352336437","0.9539539352336437"
"22000000","21","21","21","0.9543168920691033","0.9543168920691033","0.9543168920691033"
"23000000","22","22","22","0.9565963313519664","0.9565963313519664","0.9565963313519664"
"24000000","23","23","23","0.9570508074712716","0.9570508074712716","0.9570508074712716"
"25000000","24","24","24","0.9577607313783487","0.9577607313783487","0.9577607313783487"
"26000000","25","25","25","0.9574696812903327","0.9574696812903327","0.9574696812903327"
"27000000","26","26","26","0.9573716078737199","0.9573716078737199","0.9573716078737199"
"28000000","27","27","27","0.956644492129048","0.956644492129048","0.956644492129048"
"29000000","28","28","28","0.9576974731743786","0.9576974731743786","0.9576974731743786"
"30000000","29","29","29","0.956140169015044","0.956140169015044","0.956140169015044"
"31000000","30","30","30","0.9568601079178473","0.9568601079178473","0.9568601079178473"
"32000000","31","31","31","0.9571696995955364","0.9571696995955364","0.9571696995955364"
"33000000","32","32","32","0.9578391809557666","0.9578391809557666","0.9578391809557666"
"34000000","33","33","33","0.9581177745902767","0.9581177745902767","0.9581177745902767"
"35000000","34","34","34","0.9586856430633354","0.9586856430633354","0.9586856430633354"
"36000000","35","35","35","0.9571852980185095","0.9571852980185095","0.9571852980185095"
"37000000","36","36","36","0.9577515090234402","0.9577515090234402","0.9577515090234402"
"38000000","37","37","37","0.9572998397746867","0.9572998397746867","0.9572998397746867"
"39000000","38","38","38","0.9577826132782097","0.9577826132782097","0.9577826132782097"
"40000000","39","39","39","0.9567318803580448","0.9567318803580448","0.9567318803580448"
"41000000","40","40","40","0.9579507653274755","0.9579507653274755","0.9579507653274755"
"42000000","41","41","41","0.9559776151110381","0.9559776151110381","0.9559776151110381"
"43000000","42","42","42","0.95734660788814","0.95734660788814","0.95734660788814"
"44000000","43","43","43","0.9573283209693796","0.9573283209693796","0.9573283209693796"
"45000000","44","44","44","0.9593471570546686","0.9593471570546686","0.9593471570546686"
"46000000","45","45","45","0.9588974026219353","0.9588974026219353","0.9588974026219353"
"47000000","46","46","46","0.9579269503537533","0.9579269503537533","0.9579269503537533"
"48000000","47","47","47","0.9580561583306372","0.9580561583306372","0.9580561583306372"
"49000000","48","48","48","0.9575115641683233","0.9575115641683233","0.9575115641683233"
"50000000","49","49","49","0.9575947826180431","0.9575947826180431","0.9575947826180431"
"51000000","50","50","50","0.957626474837153","0.957626474837153","0.957626474837153"
"52000000","51","51","51","0.9584375663743632","0.9584375663743632","0.9584375663743632"
"53000000","52","52","52","0.9578589387481026","0.9578589387481026","0.9578589387481026"
"54000000","53","53","53","0.9581865747125615","0.9581865747125615","0.9581865747125615"
"55000000","54","54","54","0.958035435486928","0.958035435486928","0.958035435486928"
"56000000","55","55","55","0.9579415421265647","0.9579415421265647","0.9579415421265647"
"57000000","56","56","56","0.9587992419774362","0.9587992419774362","0.9587992419774362"
"58000000","57","57","57","0.9575577475568683","0.9575577475568683","0.9575577475568683"
"59000000","58","58","58","0.9588314193784844","0.9588314193784844","0.9588314193784844"
"60000000","59","59","59","0.9579279163190711","0.9579279163190711","0.9579279163190711"
"61000000","60","60","60","0.9588277005365952","0.9588277005365952","0.9588277005365952"
"62000000","61","61","61","0.9591893206419579","0.9591893206419579","0.9591893206419579"
"63000000","62","62","62","0.9582507165586157","0.9582507165586157","0.9582507165586157"
"64000000","63","63","63","0.956637845150922","0.956637845150922","0.956637845150922"
"65000000","64","64","64","0.9579265860130517","0.9579265860130517","0.9579265860130517"
"66000000","65","65","65","0.9580881517696791","0.9580881517696791","0.9580881517696791"
"67000000","66","66","66","0.957289387583415","0.957289387583415","0.957289387583415"
"68000000","67","67","67","0.9573460082789496","0.9573460082789496","0.9573460082789496"
"69000000","68","68","68","0.957189288607192","0.957189288607192","0.957189288607192"
"70000000","69","69","69","0.9571501758236169","0.9571501758236169","0.9571501758236169"
"71000000","70","70","70","0.9587919943216168","0.9587919943216168","0.9587919943216168"
"72000000","71","71","71","0.9568416485518502","0.9568416485518502","0.9568416485518502"
"73000000","72","72","72","0.957602357947847","0.957602357947847","0.957602357947847"
"74000000","73","73","73","0.9595513507355297","0.9595513507355297","0.9595513507355297"
"75000000","74","74","74","0.9578430043289574","0.9578430043289574","0.9578430043289574"
"76000000","75","75","75","0.9571229667570577","0.9571229667570577","0.9571229667570577"
"77000000","76","76","76","0.9579307549267615","0.9579307549267615","0.9579307549267615"
"78000000","77","77","77","0.9559255865284236","0.9559255865284236","0.9559255865284236"
"79000000","78","78","78","0.9559452236179175","0.9559452236179175","0.9559452236179175"
"80000000","79","79","79","0.9555877703943506","0.9555877703943506","0.9555877703943506"
"81000000","80","80","80","0.9563486439349522","0.9563486439349522","0.9563486439349522"
"82000000","81","81","81","0.957488233689731","0.957488233689731","0.957488233689731"
"83000000","82","82","82","0.955029395268909","0.955029395268909","0.955029395268909"
"84000000","83","83","83","0.9560748394289602","0.9560748394289602","0.9560748394289602"
"85000000","84","84","84","0.9549088474843582","0.9549088474843582","0.9549088474843582"
"86000000","85","85","85","0.9534213112691128","0.9534213112691128","0.9534213112691128"
"87000000","86","86","86","0.9542588926718427","0.9542588926718427","0.9542588926718427"
"88000000","87","87","87","0.95554625689135","0.95554625689135","0.95554625689135"
"89000000","88","88","88","0.9545706713120452","0.9545706713120452","0.9545706713120452"
"90000000","89","89","89","0.9553881140254548","0.9553881140254548","0.9553881140254548"
"91000000","90","90","90","0.9550753308682784","0.9550753308682784","0.9550753308682784"
"92000000","91","91","91","0.9558679854388217","0.9558679854388217","0.9558679854388217"
"93000000","92","92","92","0.9541422087782218","0.9541422087782218","0.9541422087782218"
"94000000","93","93","93","0.9555311088745929","0.9555311088745929","0.9555311088745929"
"95000000","94","94","94","0.9560362455496274","0.9560362455496274","0.9560362455496274"
"96000000","95","95","95","0.9561351861410969","0.9561351861410969","0.9561351861410969"
"97000000","96","96","96","0.95634698634652","0.95634698634652","0.95634698634652"
"98000000","97","97","97","0.9542858723054408","0.9542858723054408","0.9542858723054408"
"99000000","98","98","98","0.9534711308576457","0.9534711308576457","0.9534711308576457"
"100000000","99","99","99","0.9553280653425219","0.9553280653425219","0.9553280653425219"